family,seed,operator,run_id,stage,fraction,step,validation_samples,validation_loss_mean,validation_loss_p95,validation_loss_p99,validation_margin_mean,validation_margin_p05,unseen_samples,unseen_margin_mean,unseen_margin_p05,unseen_pretrained_top1_agreement,unseen_pretrained_score_drift_rms
dense,314159,adamw,adamw-scale-matched,4,0.8,313,4096,1.348647837369299,3.865659177303314,6.081062889099126,0.003506183624267578,-0.06640625,224,0.25364527106285095,-0.07197906821966171,0.9151785969734192,0.06325206905603409
dense,314159,adamw,adamw-scale-matched,5,1.0,391,4096,1.2924674637272346,3.702769696712494,5.641880702972418,0.005030155181884766,-0.0625,224,0.2508964240550995,-0.07541772723197937,0.9107142686843872,0.06362113356590271
dense,314159,muon,muon-scale-matched,1,0.2,79,4096,1.467571204613705,3.8636560440063477,5.816747260093691,-0.0006060600280761719,-0.06640625,224,0.24326230585575104,-0.07310941070318222,0.9330357313156128,0.0657891258597374
dense,314159,muon,muon-scale-matched,2,0.4,157,4096,1.4778112974040596,4.1123552322387695,6.134789991378797,-0.0008902549743652344,-0.0703125,224,0.25112950801849365,-0.08008631318807602,0.9196428656578064,0.07517550885677338
dense,314159,muon,muon-scale-matched,3,0.6,235,4096,1.2436596611512414,3.5491233468055725,5.460572767257695,0.006937503814697266,-0.05859375,224,0.2518090307712555,-0.0726609155535698,0.9151785969734192,0.06798384338617325
dense,314159,muon,muon-scale-matched,4,0.8,313,4096,1.3118363335472623,3.812881350517273,5.734498929977421,0.005098104476928711,-0.0625,224,0.2522951364517212,-0.0721985474228859,0.90625,0.06939750909805298
dense,314159,muon,muon-scale-matched,5,1.0,391,4096,1.2089199065673029,3.4834909439086914,5.381288146972661,0.008290290832519531,-0.0546875,224,0.24905328452587128,-0.0760526955127716,0.8928571343421936,0.06922904402017593
dense,314159,normuon,normuon-scale-matched,1,0.2,79,4096,1.454475354783881,3.8991426825523376,5.774668860435497,-0.0002270340919494629,-0.06640625,224,0.24589498341083527,-0.07993604242801666,0.9419642686843872,0.06360677629709244
dense,314159,normuon,normuon-scale-matched,2,0.4,157,4096,1.4644430264961557,4.111154794692993,6.307447195053114,-0.0005612373352050781,-0.06640625,224,0.2546283006668091,-0.07699146121740341,0.9241071343421936,0.07273006439208984
dense,314159,normuon,normuon-scale-matched,3,0.6,235,4096,1.2327982054621316,3.4576485753059387,5.498400783538833,0.007357791066169739,-0.0546875,224,0.2518948018550873,-0.07464276999235153,0.9151785969734192,0.06608591228723526
dense,314159,normuon,normuon-scale-matched,4,0.8,313,4096,1.2898802417334991,3.7292582988739014,5.758200240135199,0.005701541900634766,-0.0625,224,0.25234875082969666,-0.07745224982500076,0.9196428656578064,0.068488709628582
dense,314159,normuon,normuon-scale-matched,5,1.0,391,4096,1.2372963454240562,3.5127655267715454,5.460344958305369,0.007333835586905479,-0.0546875,224,0.24930240213871002,-0.07343919575214386,0.90625,0.06943558156490326
