centered_log10_learning_rate,cumulative_displacement_to_weight_ratio,cumulative_stable_rank_fraction,dose_index,learning_rate,log_saved_segment_to_weight_ratio,margin_degrading_attribution_mass,margin_helpful_attribution_participation_ratio,margin_helpful_mass_share,mean_cumulative_subspace_overlap_to_adamw,mean_ndcg_at_10,mean_saved_segment_subspace_overlap_to_adamw,optimizer,progress_fraction,random_50pct_relative_shortlist_ndcg,run_id,saved_segment_row_norm_cv,saved_segment_sketch_effective_rank_fraction,saved_segment_stable_rank_fraction,saved_segment_top_1pct_row_energy,stage
-0.7385606273598313,0.004045448070780084,0.12501487876960937,1,0.0001,-5.510162963090921,0.10597443777295913,0.3043729915008616,0.5201679474976407,0.3678281151784215,0.5822957142857142,0.36705107195053827,muon,0.2,0.98931449016767,verified-v3-muon-1e-4,0.20129058825818294,0.08184425884761487,0.12501487876960937,0.028728843088894285,1
-0.7385606273598313,0.005927632729594198,0.11474996340359808,1,0.0001,-5.615888031568725,0.10745406412265608,0.3063090484262613,0.5190560254280074,0.3492131564606798,0.5879385714285714,0.17519093779996434,muon,0.4,0.9900960385335982,verified-v3-muon-1e-4,0.18602501724493056,0.08270689185024795,0.18895067088637973,0.023879153723703986,2
-0.7385606273598313,0.00682905603473828,0.1118405319869837,1,0.0001,-5.980534071433336,0.1069671192192,0.3077986481408699,0.5194164173852098,0.34272770746486547,0.58963,0.11188954987095041,muon,0.6,0.9896382383089872,verified-v3-muon-1e-4,0.18210072140582903,0.08303393641363915,0.268384306826056,0.022739501993724688,3
-0.7385606273598313,0.007236853217333111,0.10948545068714921,1,0.0001,-6.490073410757865,0.10539574684316969,0.3098733437605163,0.5262228975213457,0.3422937916422432,0.5903421428571428,0.09690559405415133,muon,0.8,0.9915798451566733,verified-v3-muon-1e-4,0.1817354618218095,0.08309859589884414,0.3015314746986736,0.0227161482808225,4
-0.7385606273598313,0.007345861606345139,0.10836047871758805,1,0.0001,-7.4757731983091285,0.10549433040041466,0.3105552396247145,0.5254359500268063,0.34259206429621913,0.5910157142857143,0.09162704553330606,muon,1.0,0.9900837158093534,verified-v3-muon-1e-4,0.18231386243101746,0.0831276679315244,0.3218004605774361,0.022659130633514834,5
-0.2614393726401687,0.010777368472166813,0.22130507305131664,2,0.0003,-4.530306855345375,0.10704773154445871,0.3085227602557172,0.521336007433102,0.19437226740254915,0.5881207142857142,0.19336575464181163,muon,0.2,0.9926395538347573,verified-v3-muon-3e-4,0.1827574812901769,0.08283190673579081,0.22130507305131664,0.023528110163714637,1
-0.2614393726401687,0.01548192352459276,0.21934094387579728,2,0.0003,-4.585077374519073,0.10697193342816576,0.3066050245471302,0.5194384990523923,0.16829867700592957,0.5927621428571428,0.06398393566543387,muon,0.4,0.9911534234524757,verified-v3-muon-3e-4,0.17861922782532033,0.08314337902793698,0.32960891335830755,0.022098817777904598,2
-0.2614393726401687,0.01763781077649289,0.22035333564680953,2,0.0003,-4.9210854093256415,0.10511545454272396,0.30978138419529516,0.5267954133975297,0.1594606322263751,0.5912535714285714,0.056555550686771025,muon,0.6,0.9910442121741341,verified-v3-muon-3e-4,0.17984495252211463,0.08315529479062493,0.34216401655618733,0.022131086262391214,3
-0.2614393726401687,0.01854684752017395,0.21708344573855612,2,0.0003,-5.417481595239535,0.10537697539667264,0.30876385894237585,0.5244508916442342,0.1605501508360161,0.591362142857143,0.05749189095225504,muon,0.8,0.9960402679041677,verified-v3-muon-3e-4,0.18100890787168938,0.08315578481570922,0.34233040966877115,0.02236659428413539,4
-0.2614393726401687,0.018755467240673736,0.21475723396435567,2,0.0003,-6.391757907950388,0.10472986565113855,0.3116976883357302,0.5292498766686419,0.16161241576718016,0.5924307142857143,0.06212192164288266,muon,1.0,0.995484896031746,verified-v3-muon-3e-4,0.18363260829890954,0.08316385962480742,0.3508761414125854,0.02246143817552988,5
