family,seed,operator,stage,update_stable_rank_fraction,update_entropy_rank_fraction,update_head_energy_fraction,update_middle_energy_fraction,update_tail_energy_fraction,update_row_norm_cv,update_frobenius_norm,weight_frobenius_norm
dense,271828,normuon,1,0.41519745913418854,0.9495228538538683,0.43360060317949817,0.47452964310977547,0.09186975400456611,0.024637561440866262,19.209284931230485,1194.9372259658762
dense,271828,normuon,2,0.4004250528978154,0.9443517378307281,0.44455283410090174,0.46949635549662583,0.08595081270338699,0.02540796335268626,19.860644437254184,1193.7816067682577
dense,271828,normuon,3,0.39977815579921805,0.9461323303334853,0.44098953209458824,0.47104371167759207,0.08796676379792831,0.025126314871411592,14.542092404741664,1192.93096690843
dense,271828,normuon,4,0.4034000423184053,0.9461206849564843,0.44113758549014515,0.4709036290486229,0.08795878098391116,0.025756481917883784,8.682225878526719,1192.4068507251416
dense,271828,normuon,5,0.42121250042940844,0.953290068210765,0.4256980545061795,0.477659446032927,0.09664249833533789,0.024660934656758837,3.1954470002236866,1192.224844137838
dense,314159,adamw,1,0.035806925464321904,0.7764232276595212,0.7576264751786217,0.2222664919607142,0.02010703653428345,0.06438844115099805,10.458860067132834,1195.9836703560381
dense,314159,adamw,2,0.03701989013044273,0.7755238496683499,0.7572882763523469,0.22284028029696826,0.019871438967367823,0.06837081188525268,10.193373084218969,1195.9133406663666
dense,314159,adamw,3,0.03645676377174609,0.7705936368136482,0.7626624837278683,0.21824787003311882,0.019089655821176773,0.07243781140880948,7.0744001617004395,1195.8516904039122
dense,314159,adamw,4,0.03324833849723884,0.763712233878712,0.7701853077041911,0.21157022469980832,0.018244469692098864,0.07208506883505512,4.174775701946446,1195.8105521816508
dense,314159,adamw,5,0.02963385235936565,0.7549440702971291,0.7804794118684881,0.20226223105415303,0.01725836380081062,0.07622554719966045,1.5699486207095676,1195.7953067006677
dense,314159,muon,1,0.4566058648780068,0.9479472189344824,0.4324063104104231,0.4798295645312192,0.08776412808142084,0.18209890099889772,19.322820041822766,1194.9380117770738
dense,314159,muon,2,0.4411632266433481,0.9436983075690142,0.4431043281593425,0.4738285094499588,0.0830671547060424,0.1818078394585792,20.07240548214578,1193.7748998855184
dense,314159,muon,3,0.4382079698663344,0.9432932509776742,0.44368119274868684,0.47372103629902723,0.08259777200313653,0.1844098255894879,14.415054814366451,1192.9272632152665
dense,314159,muon,4,0.4440596379379538,0.9451549478711929,0.4393376745482817,0.47609389441854816,0.08456842819935975,0.1848661696194686,8.809636821015815,1192.40469505412
dense,314159,muon,5,0.4640669673681259,0.9521209777676486,0.422652254448855,0.4845382548111645,0.0928094943806051,0.18452881062702142,3.1853857403106955,1192.2244916647999
dense,314159,normuon,1,0.41428554727431927,0.9491440709580712,0.4339192112021268,0.4746514533292801,0.09142933351630196,0.02476497758478723,19.27348723480525,1194.9423955209227
dense,314159,normuon,2,0.406136925924908,0.9456055883099052,0.442013603719798,0.47066104260676683,0.08732535905219654,0.024975025339081962,20.030172908229954,1193.7845570812121
dense,314159,normuon,3,0.3995381111607832,0.9452838403655883,0.44259971412107907,0.4704452694099855,0.08695500942176199,0.025668753933579844,14.3971721322904,1192.936929293812
dense,314159,normuon,4,0.407019429267409,0.9468123168550073,0.43964072049939057,0.4716645673634534,0.08869471915444747,0.025430583656531443,8.787104750558044,1192.4139332292204
dense,314159,normuon,5,0.41764954282319483,0.9526307213115183,0.4272892466362785,0.47688497483411574,0.09582577400746192,0.024911673283851878,3.165266795029428,1192.2329227042762
