run_id,optimizer,learning_rate,step,task,removed_fraction,draw,shortlist_ndcg,relative_shortlist_ndcg,margin,relative_margin
pretrained,pretrained,,0,NQ,0.1,8,1.0,1.0,0.3325177500060631,0.9914623419979477
pretrained,pretrained,,0,QuoraRetrieval,0.1,8,1.0,1.0,0.4439295727041933,0.993978619927523
pretrained,pretrained,,0,SCIDOCS,0.1,8,0.8673169492769113,0.9906532163930063,0.10097157345241231,0.9849152383632672
pretrained,pretrained,,0,SciFact,0.1,8,0.9769331095982161,1.0,0.25005489272746173,0.9870408731285865
pretrained,pretrained,,0,TRECCOVID,0.1,8,0.8266326621279816,0.9635731069299335,0.04606784978432639,0.9740691280992645
pretrained,pretrained,,0,Touche2020,0.1,8,1.0,1.0,0.2437409899746202,0.9902978350460014
pretrained,pretrained,,0,ArguAna,0.1,9,1.0,1.0,0.18514383176046212,0.973184244597071
pretrained,pretrained,,0,ClimateFEVER,0.1,9,0.7436121661213411,1.03342976409358,-0.0021346949787905065,1.183270209197974
pretrained,pretrained,,0,DBPedia,0.1,9,1.0,1.0,0.2505500811878887,0.9997548777591109
pretrained,pretrained,,0,FEVER,0.1,9,1.0,1.0,0.3268035147903197,1.0065065982191002
pretrained,pretrained,,0,FiQA2018,0.1,9,0.9769331095982161,1.0,0.19310574918797882,0.9862935196693151
pretrained,pretrained,,0,HotpotQA,0.1,9,1.0,1.0,0.23770733562532942,0.9950442587805993
pretrained,pretrained,,0,MSMARCO,0.1,9,1.0,1.0,0.3142667118913601,1.0003842144739563
pretrained,pretrained,,0,NFCorpus,0.1,9,0.6736694382310104,0.9978823613331217,0.004113197384884085,1.1246883403814247
pretrained,pretrained,,0,NQ,0.1,9,1.0,1.0,0.33063112109216386,0.9858370136615762
pretrained,pretrained,,0,QuoraRetrieval,0.1,9,1.0,1.0,0.4435685924425413,0.9931703686093866
pretrained,pretrained,,0,SCIDOCS,0.1,9,0.8755000588751274,1.0,0.10481547098652454,1.022410080986854
pretrained,pretrained,,0,SciFact,0.1,9,0.9769331095982161,1.0,0.25274732151547025,0.99766868861648
pretrained,pretrained,,0,TRECCOVID,0.1,9,0.8798327739955403,1.025586380092018,0.04422803414022299,0.9351676462913397
pretrained,pretrained,,0,Touche2020,0.1,9,1.0,1.0,0.23933804957553584,0.972409082130442
pretrained,pretrained,,0,ArguAna,0.1,10,1.0,1.0,0.19192896946643717,1.0088494301454591
pretrained,pretrained,,0,ClimateFEVER,0.1,10,0.7153889274296235,0.994206717145234,-0.007729574139989625,4.284534746420255
pretrained,pretrained,,0,DBPedia,0.1,10,1.0,1.0,0.25077975775022965,1.0006713422935412
pretrained,pretrained,,0,FEVER,0.1,10,1.0,1.0,0.3211776605668518,0.9891797974343156
pretrained,pretrained,,0,FiQA2018,0.1,10,0.9538662191964322,0.9763884649059846,0.19343221964276036,0.987960977501454
pretrained,pretrained,,0,HotpotQA,0.1,10,1.0,1.0,0.23169264107014087,0.9698667131667249
pretrained,pretrained,,0,MSMARCO,0.1,10,1.0,1.0,0.3163062199832341,1.0068764442367701
pretrained,pretrained,,0,NFCorpus,0.1,10,0.670324471112185,0.9929275815885036,-0.00028712640814508583,-0.07851014508643053
pretrained,pretrained,,0,NQ,0.1,10,1.0,1.0,0.3294279811120402,0.9822496322889336
pretrained,pretrained,,0,QuoraRetrieval,0.1,10,1.0,1.0,0.44754820527715,1.0020809037852578
pretrained,pretrained,,0,SCIDOCS,0.1,10,0.8903838396786952,1.0170003195918582,0.10885032876638642,1.061767622680383
pretrained,pretrained,,0,SciFact,0.1,10,0.9769331095982161,1.0,0.25062222347451146,0.9892802959601604
pretrained,pretrained,,0,TRECCOVID,0.1,10,0.8698633436720545,1.013965408176399,0.05207619624026086,1.1011109766129235
pretrained,pretrained,,0,Touche2020,0.1,10,1.0,1.0,0.2515720487595357,1.022114726253456
pretrained,pretrained,,0,ArguAna,0.1,11,1.0,1.0,0.19129794929490854,1.0055325554588148
pretrained,pretrained,,0,ClimateFEVER,0.1,11,0.7461531920326341,1.0369611369350977,-0.00539705107360355,2.991607614373719
pretrained,pretrained,,0,DBPedia,0.1,11,1.0,1.0,0.24904054120299296,0.9937314514009283
pretrained,pretrained,,0,FEVER,0.1,11,1.0,1.0,0.32271627644896317,0.9939185072932454
pretrained,pretrained,,0,FiQA2018,0.1,11,0.9769331095982161,1.0,0.1960698945276275,1.001432982643085
pretrained,pretrained,,0,HotpotQA,0.1,11,1.0,1.0,0.24056062229487668,1.0069881330061017
pretrained,pretrained,,0,MSMARCO,0.1,11,1.0,1.0,0.3111044315548065,0.9903179388846945
pretrained,pretrained,,0,NFCorpus,0.1,11,0.688249336702173,1.0194790416762365,0.0006841738526713569,0.18707644756391836
pretrained,pretrained,,0,NQ,0.1,11,1.0,1.0,0.33771780145268465,1.0069672441743975
pretrained,pretrained,,0,QuoraRetrieval,0.1,11,1.0,1.0,0.4544325734057564,1.0174953189364306
pretrained,pretrained,,0,SCIDOCS,0.1,11,0.8673169492769113,0.9906532163930063,0.10701938801328596,1.0439079282474852
pretrained,pretrained,,0,SciFact,0.1,11,0.9769331095982161,1.0,0.2512200616630735,0.9916401407174115
pretrained,pretrained,,0,TRECCOVID,0.1,11,0.8211831684733435,0.9572208470053413,0.04541770336702281,0.960322283894367
pretrained,pretrained,,0,Touche2020,0.1,11,1.0,1.0,0.2479789863165378,1.007516435014644
pretrained,pretrained,,0,ArguAna,0.1,12,1.0,1.0,0.1882838722950585,0.9896894554194275
pretrained,pretrained,,0,ClimateFEVER,0.1,12,0.7181279118570517,0.9980132014385952,-0.0017073199351180443,0.9463744642054828
pretrained,pretrained,,0,DBPedia,0.1,12,0.96875,0.96875,0.2526994460229434,1.008331358627694
pretrained,pretrained,,0,FEVER,0.1,12,1.0,1.0,0.32650184260456716,1.0055774924056147
pretrained,pretrained,,0,FiQA2018,0.1,12,0.9538662191964322,0.9763884649059846,0.1970603228417502,1.0064916255474208
pretrained,pretrained,,0,HotpotQA,0.1,12,1.0,1.0,0.23877111321208527,0.9994972378085133
pretrained,pretrained,,0,MSMARCO,0.1,12,1.0,1.0,0.3155966120599514,1.0046175967735902
pretrained,pretrained,,0,NFCorpus,0.1,12,0.673192486072251,0.9971758692178261,0.005892773347088482,1.611285055353017
pretrained,pretrained,,0,NQ,0.1,12,1.0,1.0,0.3294117036480443,0.9822010980600846
pretrained,pretrained,,0,QuoraRetrieval,0.1,12,1.0,1.0,0.44598235325414887,0.9985748894790866
pretrained,pretrained,,0,SCIDOCS,0.1,12,0.8629842341564983,0.9857043702147663,0.1018233066677229,0.99322336899941
pretrained,pretrained,,0,SciFact,0.1,12,0.9769331095982161,1.0,0.2512885182754814,0.9919103592832051
pretrained,pretrained,,0,TRECCOVID,0.1,12,0.8567658835937564,0.9986982152880266,0.041510134207139615,0.8776997499064665
pretrained,pretrained,,0,Touche2020,0.1,12,1.0,1.0,0.2448673820227855,0.9948742651607198
pretrained,pretrained,,0,ArguAna,0.1,13,1.0,1.0,0.1878505144260364,0.9874115666753396
pretrained,pretrained,,0,ClimateFEVER,0.1,13,0.7377154361235219,1.0252348251614276,-0.00013237309563518887,0.07337495151329765
pretrained,pretrained,,0,DBPedia,0.1,13,1.0,1.0,0.25169033367997795,1.004304758507257
pretrained,pretrained,,0,FEVER,0.1,13,1.0,1.0,0.32313915400216553,0.9952209077518512
pretrained,pretrained,,0,FiQA2018,0.1,13,0.9538662191964322,0.9763884649059846,0.19308668458494882,0.9861961466262927
pretrained,pretrained,,0,HotpotQA,0.1,13,1.0,1.0,0.24207721800279514,1.0133366112644007
pretrained,pretrained,,0,MSMARCO,0.1,13,1.0,1.0,0.3078615635130665,0.9799951338409957
pretrained,pretrained,,0,NFCorpus,0.1,13,0.6778380385193568,1.0040571593321403,0.004363603531535726,1.1931579145705753
pretrained,pretrained,,0,NQ,0.1,13,1.0,1.0,0.3264518696495691,0.9733758129497414
pretrained,pretrained,,0,QuoraRetrieval,0.1,13,1.0,1.0,0.4439701283054465,0.9940694257738613
pretrained,pretrained,,0,SCIDOCS,0.1,13,0.8755000588751274,1.0,0.10394912514032015,1.0139594131756646
pretrained,pretrained,,0,SciFact,0.1,13,0.9769331095982161,1.0,0.24982110690573306,0.9861180511070408
pretrained,pretrained,,0,TRECCOVID,0.1,13,0.8660657717261977,1.0095387282660753,0.046261120621593904,0.9781556907850757
