family,anchor,metric,condition,interpolation_lambda,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.00335693359375,0.000270298549107143
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0029296875,0.000697544642857143
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,adam-basis__muon-spectrum,1.0,-0.0023629324776785715,0.0012642996651785715
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,adamw-native,0.0,0.0013253348214285715,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,0.0011509486607142857,-0.00017438616071428575
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,adam-basis__spectrum-lambda-0.50,0.5,0.00103759765625,-0.0002877371651785715
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,adam-basis__spectrum-lambda-0.75,0.75,0.0007672991071428571,-0.0005580357142857144
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,adam-basis__muon-spectrum,1.0,0.00054931640625,-0.0007760184151785715
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,adamw-native,0.0,-0.000744047574698925,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,adam-basis__spectrum-lambda-0.25,0.25,-0.004092261860413211,-0.003348214285714286
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,adam-basis__spectrum-lambda-0.50,0.5,-0.000744047574698925,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,adam-basis__spectrum-lambda-0.75,0.75,-0.003720238006540707,-0.002976190431841782
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,adam-basis__muon-spectrum,1.0,-0.0026041665779692785,-0.0018601190032703535
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,adamw-native,0.0,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,adam-basis__spectrum-lambda-0.25,0.25,-0.004464285714285714,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,adam-basis__spectrum-lambda-0.50,0.5,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,adam-basis__spectrum-lambda-0.75,0.75,-0.004464285714285714,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,adam-basis__muon-spectrum,1.0,-0.004464285714285714,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,adamw-native,0.0,-0.003271885865355476,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,adam-basis__spectrum-lambda-0.25,0.25,-0.006277166644524966,-0.00300528077916949
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,adam-basis__spectrum-lambda-0.50,0.5,-0.007818922409309639,-0.004547036543954163
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,adam-basis__spectrum-lambda-0.75,0.75,-0.01072655703410419,-0.007454671168748713
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,adam-basis__muon-spectrum,1.0,-0.00729441900745899,-0.004022533142103514
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,adamw-native,0.0,-0.0032871791294642855,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,adam-basis__spectrum-lambda-0.25,0.25,-0.0035487583705357145,-0.00026157924107142894
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,adam-basis__spectrum-lambda-0.50,0.5,-0.0033656529017857145,-7.847377232142894e-05
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0030691964285714285,0.00021798270089285702
dense,dense/muon-lr1e-3/checkpoint-3907,positive_score,adam-basis__muon-spectrum,1.0,-0.0026768275669642855,0.0006103515625
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,adamw-native,0.0,-0.003993443080357143,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,adam-basis__spectrum-lambda-0.25,0.25,-0.004307338169642857,-0.00031389508928571404
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,adam-basis__spectrum-lambda-0.50,0.5,-0.003949846540178571,4.3596540178571924e-05
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,adam-basis__spectrum-lambda-0.75,0.75,-0.0037144252232142855,0.00027901785714285745
dense,dense/muon-lr1e-3/checkpoint-3907,hardest_negative_score,adam-basis__muon-spectrum,1.0,-0.003391810825892857,0.000601632254464286
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,adamw-native,0.0,0.0007062639508928571,0.0
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,adam-basis__spectrum-lambda-0.25,0.25,0.0007585797991071429,5.2315848214285745e-05
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,adam-basis__spectrum-lambda-0.50,0.5,0.0005841936383928571,-0.0001220703125
dense,dense/muon-lr1e-3/checkpoint-3907,positive_margin,adam-basis__spectrum-lambda-0.75,0.75,0.0006452287946428571,-6.103515625e-05
