family,anchor,metric,band,condition,effect_vs_baseline,contrast_vs_adamw_native
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,head,adam-basis__muon-head-spectrum,-0.00020054408482142856,0.0003574916294642857
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,middle,adam-basis__muon-middle-spectrum,-6.975446428571428e-05,0.00048828125
dense,dense/adamw-lr1e-5/checkpoint-782,positive_margin,tail,adam-basis__muon-tail-spectrum,-0.00045340401785714287,0.00010463169642857138
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,head,adam-basis__muon-head-spectrum,-0.0013392857675041472,0.007589285794113364
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,-0.0018601191363164357,0.007068452425301075
dense,dense/adamw-lr1e-5/checkpoint-782,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,-0.0037202381395867895,0.005208333422030722
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,head,adam-basis__muon-head-spectrum,-0.004464285714285714,0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,middle,adam-basis__muon-middle-spectrum,-0.004464285714285714,0.013392857142857142
dense,dense/adamw-lr1e-5/checkpoint-782,top1_accuracy,tail,adam-basis__muon-tail-spectrum,-0.004464285714285714,0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.013463396016699594,0.0034536088547351285
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,middle,adam-basis__muon-middle-spectrum,-0.01609438234053024,0.0008226225309044821
dense,dense/muon-lr1e-3/checkpoint-2345,contrastive_loss,tail,adam-basis__muon-tail-spectrum,-0.019585204553940066,-0.0026681996825053435
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,head,adam-basis__muon-head-spectrum,-0.0021275111607142855,0.00017438616071428596
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,middle,adam-basis__muon-middle-spectrum,-0.002162388392857143,0.0001395089285714285
dense,dense/muon-lr1e-3/checkpoint-2345,positive_score,tail,adam-basis__muon-tail-spectrum,-0.0022670200892857145,3.487723214285702e-05
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,head,adam-basis__muon-head-spectrum,-0.0030081612723214285,0.0006190708705357145
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,middle,adam-basis__muon-middle-spectrum,-0.00341796875,0.00020926339285714298
dense,dense/muon-lr1e-3/checkpoint-2345,hardest_negative_score,tail,adam-basis__muon-tail-spectrum,-0.00360107421875,2.615792410714298e-05
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,head,adam-basis__muon-head-spectrum,0.0008806501116071429,-0.0004446847098214286
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,middle,adam-basis__muon-middle-spectrum,0.0012555803571428572,-6.975446428571425e-05
dense,dense/muon-lr1e-3/checkpoint-2345,positive_margin,tail,adam-basis__muon-tail-spectrum,0.0013340541294642857,8.719308035714255e-06
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,head,adam-basis__muon-head-spectrum,-0.0011160712955253465,-0.00037202372082642153
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,middle,adam-basis__muon-middle-spectrum,0.0014880952824439322,0.002232142857142857
dense,dense/muon-lr1e-3/checkpoint-2345,reciprocal_rank,tail,adam-basis__muon-tail-spectrum,0.005952380996729646,0.006696428571428571
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,head,adam-basis__muon-head-spectrum,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,middle,adam-basis__muon-middle-spectrum,0.004464285714285714,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,top1_accuracy,tail,adam-basis__muon-tail-spectrum,0.013392857142857142,0.013392857142857142
dense,dense/muon-lr1e-3/checkpoint-3907,contrastive_loss,head,adam-basis__muon-head-spectrum,-0.00810767260385806,-0.0048357867385025845
