model_family,learning_rate,task,adamw_ndcg_at_10,hybrid_adamw_ndcg_at_10,hybrid_minus_adamw,adamw_result_path,hybrid_result_path
dense,1e-06,SCIDOCS,0.14197,0.1416,-0.0003700000000000092,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/SCIDOCSDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/SCIDOCSDecontaminated.json
dense,1e-06,SciFact,0.87251,0.87144,-0.0010700000000000154,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/SciFactDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/SciFactDecontaminated.json
dense,1e-06,TRECCOVID,0.76111,0.76279,0.0016800000000000148,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/TRECCOVIDDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/TRECCOVIDDecontaminated.json
dense,1e-06,Touche2020,0.29261,0.29267,6.0000000000004494e-05,results/decontaminated-beir/dense/adamw-lr1e-6__checkpoint-3907/results/adamw-lr1e-6__checkpoint-3907/local/Touche2020Decontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr1e-6__checkpoint-3907/results/hybrid-adamw-lr1e-6__checkpoint-3907/local/Touche2020Decontaminated.json
dense,3e-06,ArguAna,0.58717,0.58577,-0.0013999999999999568,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/ArguAnaDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/ArguAnaDecontaminated.json
dense,3e-06,ClimateFEVER,0.3547,0.35179,-0.0029100000000000237,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/ClimateFEVERDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/ClimateFEVERDecontaminated.json
dense,3e-06,DBPedia,0.27487,0.27475,-0.00012000000000000899,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/DBPediaDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/DBPediaDecontaminated.json
dense,3e-06,FEVER,0.89441,0.89584,0.0014299999999999313,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/FEVERDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/FEVERDecontaminated.json
dense,3e-06,FiQA2018,0.52393,0.52441,0.00048000000000003595,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/FiQA2018Decontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/FiQA2018Decontaminated.json
dense,3e-06,HotpotQA,0.67434,0.67415,-0.00019000000000002348,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/HotpotQADecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/HotpotQADecontaminated.json
dense,3e-06,MSMARCO,0.54092,0.54091,-9.99999999995449e-06,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/MSMARCODecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/MSMARCODecontaminated.json
dense,3e-06,NFCorpus,0.28681,0.28774,0.0009299999999999864,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/NFCorpusDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/NFCorpusDecontaminated.json
dense,3e-06,NQ,0.94734,0.94734,0.0,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/NQDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/NQDecontaminated.json
dense,3e-06,QuoraRetrieval,0.91597,0.91598,1.0000000000065512e-05,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/QuoraRetrievalDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/QuoraRetrievalDecontaminated.json
dense,3e-06,SCIDOCS,0.14673,0.14433,-0.0023999999999999855,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/SCIDOCSDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/SCIDOCSDecontaminated.json
dense,3e-06,SciFact,0.86724,0.86724,0.0,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/SciFactDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/SciFactDecontaminated.json
dense,3e-06,TRECCOVID,0.82393,0.82424,0.00030999999999992145,results/decontaminated-beir/dense/adamw-lr3e-6__checkpoint-3907/results/adamw-lr3e-6__checkpoint-3907/local/TRECCOVIDDecontaminated.json,results/hybrid-adamw-beir/dense/hybrid-adamw-lr3e-6__checkpoint-3907/results/hybrid-adamw-lr3e-6__checkpoint-3907/local/TRECCOVIDDecontaminated.json
