run_id,stage,original_feature,exact_feature,original_value,exact_value,exact_minus_original,relationship,defined
verified-v3-adamw-1e-5,4,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.0784492446458276,0.7563850641648652,0.6779358195190376,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-1e-5,4,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.014352941105338128,0.014352939275651615,-1.8296865134104223e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,4,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.48825175045207536,0.5025933237383096,0.0143415732862342,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,4,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6552314459347895,0.667250913968313,0.012019468033523495,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,5,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.025219196523415213,0.02521867217535268,-5.243480625319319e-07,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,5,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07818018707468335,0.7538427237556551,0.6756625366809718,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-1e-5,5,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.014340699515878198,0.014340696446974633,-3.0689035653008734e-09,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-1e-5,5,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.5085187189134897,0.5220735134641549,0.013554794550665217,exact_projectors_complete_comparator_population,True
verified-v3-adamw-1e-5,5,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.6574347853102785,0.669028101792334,0.011593316482055416,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-5,1,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.0218998328707913,0.021899779799518584,-5.3071272716753715e-08,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-5,1,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.0771927154770722,0.7482616187783352,0.671068903301263,full_spectrum_and_nonzero_denominator,True
verified-v3-adamw-3e-5,1,cumulative_stable_rank_fraction,exact_nonzero_cumulative_stable_rank_fraction,0.0218998328707913,0.021899779799518584,-5.3071272716753715e-08,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-5,1,mean_saved_segment_subspace_overlap_to_adamw,exact_mean_saved_segment_overlap_to_adamw,0.5009620985789839,0.5150914998946904,0.014129401315706502,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-5,1,mean_cumulative_subspace_overlap_to_adamw,exact_mean_cumulative_overlap_to_adamw,0.5029669144919637,0.5150914998946904,0.01212458540272665,exact_projectors_complete_comparator_population,True
verified-v3-adamw-3e-5,2,saved_segment_stable_rank_fraction,exact_nonzero_saved_segment_stable_rank_fraction,0.03506453998333736,0.035059284984544525,-5.254998792836307e-06,exact_rank_and_nonzero_denominator,True
verified-v3-adamw-3e-5,2,saved_segment_sketch_effective_rank_fraction,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,0.07965556067313315,0.7713280143716981,0.6916724536985649,full_spectrum_and_nonzero_denominator,True
