all_nonzero_pair_subspaces_resolved,defined_parameter_fraction,defined_parameters,defined_tensors,displacement_kind,first_learning_rate,first_optimizer,first_run_id,left_subspace_overlap,mean_subspace_overlap,progress_fraction,resolved_only_mean_subspace_overlap,right_subspace_overlap,second_learning_rate,second_optimizer,second_run_id,stage,step,undefined_boundary_parameters,undefined_signal_rank_parameters,undefined_zero_parameters
True,1.0,110297088,88,saved_segment,0.001,muon,verified-v3-muon-1e-3,0.08728452424824643,0.09360773685817307,0.2,0.09360773685817307,0.0999309494680997,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.001,muon,verified-v3-muon-1e-3,0.1709895561289177,0.17964656759144287,0.2,0.17964656759144287,0.18830357905396808,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.001,muon,verified-v3-muon-1e-3,0.39925882215250835,0.40934485138757604,0.2,0.40934485138757604,0.41943088062264383,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.001,muon,verified-v3-muon-1e-3,0.06894510495277159,0.07569210717287624,0.2,0.07569210717287624,0.08243910939298088,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.003,muon,verified-v3-muon-3e-3,0.02670640038710535,0.029785982892286244,0.2,0.029785982892286244,0.03286556539746714,0.0001,normuon,verified-v3-normuon-1e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.003,muon,verified-v3-muon-3e-3,0.03752511700984677,0.04179763333932863,0.2,0.04179763333932863,0.04607014966881048,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.003,muon,verified-v3-muon-3e-3,0.05405679485181147,0.05978287529047793,0.2,0.05978287529047793,0.06550895572914439,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.003,muon,verified-v3-muon-3e-3,0.15174267950097017,0.16007547549847972,0.2,0.16007547549847972,0.16840827149598928,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,normuon,verified-v3-normuon-1e-4,0.48841440301002165,0.5016410584538981,0.2,0.5016410584538981,0.5148677138977744,0.0003,normuon,verified-v3-normuon-3e-4,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,normuon,verified-v3-normuon-1e-4,0.10716859176386861,0.10978223668489188,0.2,0.10978223668489188,0.11239588160591517,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0001,normuon,verified-v3-normuon-1e-4,0.039885621736978794,0.038920694585565706,0.2,0.038920694585565706,0.03795576743415261,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,normuon,verified-v3-normuon-3e-4,0.24209220730426637,0.24534164566158162,0.2,0.24534164566158162,0.24859108401889687,0.001,normuon,verified-v3-normuon-1e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.0003,normuon,verified-v3-normuon-3e-4,0.06508704354207455,0.06194758671714647,0.2,0.06194758671714647,0.0588081298922184,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,saved_segment,0.001,normuon,verified-v3-normuon-1e-3,0.10914859666886717,0.10739792022651065,0.2,0.10739792022651065,0.10564724378415416,0.003,normuon,verified-v3-normuon-3e-3,1,782,0,0,0
True,1.0,110297088,88,cumulative,1e-06,adamw,verified-v3-adamw-1e-6,0.8009195924296476,0.8333515713079791,0.2,0.8333515713079791,0.8657835501863107,3e-06,adamw,verified-v3-adamw-3e-6,1,782,0,0,0
True,1.0,110297088,88,cumulative,1e-06,adamw,verified-v3-adamw-1e-6,0.4916593949580588,0.580079586120023,0.2,0.580079586120023,0.6684997772819871,1e-05,adamw,verified-v3-adamw-1e-5,1,782,0,0,0
