state,learning_rate,optimizer,run_id,step,stage,baseline_margin,baseline_shortlist_ndcg,helpful_mass,degrading_mass,helpful_share,first_order_half_l1,first_order_helpful_mass,first_order_degrading_mass,direct_sum,renormalization_sum,switching_sum,fixed_negative_sum,actual_sum,first_order_sum,finite_vs_first_order_l1,finite_vs_first_order_relative_l1,switching_fraction,queries_with_any_switch_fraction,baseline_negative_tie_queries,max_coordinate_energy,switching_to_total_mass,beir_ndcg_at_10
verified-v3-muon-3e-4/checkpoint-782,0.0003,muon,verified-v3-muon-3e-4,782,1,0.2533880523147983,0.9434171748199344,0.11671794046646541,0.10704773154445871,0.521336007433102,0.11185146139661392,0.11185146139661394,0.11185146139661394,-0.25338805231479833,0.25330619629070816,-0.00958835289791656,-8.185602409013663e-05,-0.009670208922006698,-6.5052130349130266e-18,0.010289926926298348,0.045447951728880005,0.009788876488095236,0.16964285714285715,0.0,0.02714448472638897,0.04230876237671669,0.5881207142857142
verified-v3-normuon-1e-3/checkpoint-1563,0.001,normuon,verified-v3-normuon-1e-3,1563,2,0.2533105630946583,0.9385997415131014,0.11188343178144113,0.10749124468887795,0.5101676808513668,0.10943493518688921,0.10943493518688922,0.10943493518688921,-0.2533105630946583,0.2532278554628277,-0.004309479460732641,-8.270763183055297e-05,-0.004392187092563194,-8.859480609452978e-18,0.0050966471416290056,0.023541575038768338,0.0038248697916666665,0.125,0.0,0.024963514094041787,0.01996048615064965,0.5920957142857143
verified-v3-normuon-1e-3/checkpoint-2345,0.001,normuon,verified-v3-normuon-1e-3,2345,3,0.26169824641190226,0.943041681704052,0.11318097079112256,0.10301009534897357,0.5233428331468621,0.10779757036582678,0.10779757036582678,0.10779757036582675,-0.26169824641190226,0.2616092885691875,-0.010081917599434229,-8.895784271475809e-05,-0.010170875442148989,-7.852721449287868e-18,0.010768780761635635,0.049462465466460596,0.010230654761904762,0.12946428571428573,0.0,0.025223511044895154,0.04627262021754219,0.5850342857142856
verified-v3-normuon-1e-3/checkpoint-3126,0.001,normuon,verified-v3-normuon-1e-3,3126,4,0.26322539932556027,0.9400874532880646,0.11268325804361772,0.10663333399400364,0.5135070322725832,0.10927546646256617,0.10927546646256617,0.10927546646256615,-0.26322539932556027,0.2631384581141979,-0.005962982838251652,-8.694121136241378e-05,-0.006049924049614063,-3.717264591378872e-19,0.0067328531301919245,0.030136251507853703,0.005498976934523809,0.11607142857142858,0.0,0.02481695845093736,0.0266181829014004,0.5896921428571428
verified-v3-normuon-1e-3/checkpoint-3907,0.001,normuon,verified-v3-normuon-1e-3,3907,5,0.2664688901833754,0.9394225481901594,0.1135636773324918,0.10403057154072036,0.5217507723558835,0.10860768877069522,0.10860768877069522,0.10860768877069522,-0.26646889018337533,0.2663803256886379,-0.009444541297034032,-8.856449473742705e-05,-0.009533105791771457,5.2351476328585784e-18,0.010155144159760002,0.04636282756580219,0.009149460565476192,0.13839285714285715,0.0,0.025140853327878566,0.04309363917353827,0.5914471428571428
verified-v3-normuon-1e-3/checkpoint-782,0.001,normuon,verified-v3-normuon-1e-3,782,1,0.2487268350398269,0.9391130685387014,0.11405187051071716,0.10304682750864637,0.5253375969039663,0.10797606141370023,0.10797606141370023,0.10797606141370021,-0.24872683503982687,0.2486516860312509,-0.010929893993494783,-7.51490085759494e-05,-0.01100504300207073,7.357086170437351e-19,0.011606651402544868,0.053447727207574645,0.011433919270833334,0.16517857142857142,0.0,0.027204750252530645,0.05033508007844794,0.5852614285714285
verified-v3-normuon-1e-4/checkpoint-1563,0.0001,normuon,verified-v3-normuon-1e-4,1563,2,0.24930178853751375,0.9451232573261811,0.11611810191796038,0.10727885827962932,0.5193993091429726,0.11143741150313166,0.11143741150313165,0.11143741150313166,-0.24930178853751375,0.2492189080240474,-0.00875636312486468,-8.28805134663784e-05,-0.008839243638331057,7.48099499014998e-18,0.009487043323878829,0.04170065575009519,0.008120582217261904,0.15178571428571427,0.0,0.027115599405673492,0.038427394337436686,0.5869142857142856
verified-v3-normuon-1e-4/checkpoint-2345,0.0001,normuon,verified-v3-normuon-1e-4,2345,3,0.2539859253150804,0.9455695477817754,0.11565815983003626,0.10780857864910971,0.5173189646833537,0.11141312432004392,0.11141312432004392,0.11141312432004392,-0.25398592531508035,0.25390062064440977,-0.007764276510255874,-8.530467067067843e-05,-0.007849581180926555,-4.863421173720691e-18,0.008505073093861457,0.037575282520836986,0.007771809895833334,0.15178571428571427,0.0,0.026372200956226072,0.03425635329739457,0.5895821428571428
verified-v3-normuon-1e-4/checkpoint-3126,0.0001,normuon,verified-v3-normuon-1e-4,3126,4,0.25551613564551384,0.9452600681303174,0.1162942990643151,0.10680215542931511,0.5210524290492711,0.11143867881304205,0.11143867881304205,0.11143867881304205,-0.25551613564551384,0.25542948735633403,-0.009405495345820183,-8.664828917978369e-05,-0.009492143634999969,-3.221629312528356e-18,0.010117580971043483,0.04491136812336904,0.008696056547619048,0.16964285714285715,0.0,0.02621406988881925,0.04171730758983636,0.5898942857142858
verified-v3-normuon-1e-4/checkpoint-3907,0.0001,normuon,verified-v3-normuon-1e-4,3907,5,0.2558771636654561,0.945330621559002,0.11841211327041797,0.10496166219203569,0.5292181060072482,0.11115656141996567,0.11115656141996567,0.11115656141996567,-0.25587716366545615,0.25579249712949587,-0.013365784542421936,-8.466653596031647e-05,-0.013450451078382256,1.734723475976807e-18,0.014046394534272878,0.06112228891489708,0.014351981026785714,0.16964285714285715,0.0,0.02641416667407606,0.05805797349028159,0.5909735714285714
