family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,representation_role,original_vectors,analyzed_vectors,sampled,dimension,mean_norm,norm_cv,mean_pairwise_cosine,covariance_trace,entropy_effective_rank,normalized_effective_rank,stable_rank,leading_variance_fraction
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,1,0.2,79,dense/seed161803/normuon-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,1.0000731945037842,0.0017110146582126617,0.07929068058729172,0.9208492040634155,150.78965759277344,0.6761868053487599,28.50878143310547,0.03507691249251366
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed161803/normuon-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.0001806020736694,0.0016780061414465308,0.0695355087518692,0.9308043718338013,161.65292358398438,0.210485577583313,27.354820251464844,0.03655662760138512
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,2,0.4,157,dense/seed161803/normuon-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,0.9999114274978638,0.0017090935725718737,0.0829874724149704,0.916854977607727,152.2224578857422,0.6826119187701444,30.782854080200195,0.03248561546206474
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed161803/normuon-scale-matched/checkpoint-235,cosine,documents,1792,1792,False,768,1.0001013278961182,0.0017229364020749927,0.06109478324651718,0.9391047954559326,159.67837524414062,0.20791455109914145,25.793476104736328,0.038769494742155075
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,3,0.6,235,dense/seed161803/normuon-scale-matched/checkpoint-235,cosine,queries,224,224,False,768,0.9998854994773865,0.0017147634644061327,0.07251735031604767,0.9272775650024414,151.6514129638672,0.6800511792101668,30.81306266784668,0.03245376795530319
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,documents,1792,1792,False,768,1.000067949295044,0.0017885459819808602,0.05370417609810829,0.9464293122291565,158.8649139404297,0.20685535669326782,26.604583740234375,0.03758750855922699
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,4,0.8,313,dense/seed161803/normuon-scale-matched/checkpoint-313,cosine,queries,224,224,False,768,0.9998937249183655,0.001764019369147718,0.07369935512542725,0.9261037111282349,150.33526611328125,0.67414917539588,30.580503463745117,0.03270057216286659
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,documents,1792,1792,False,768,1.0002251863479614,0.0017346979584544897,0.04927770793437958,0.9511577486991882,159.90985107421875,0.20821595191955566,26.72333526611328,0.03742048144340515
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,queries,224,224,False,768,1.000131368637085,0.001841438584960997,0.07121957838535309,0.929027795791626,150.9968719482422,0.6771160177051219,30.813125610351562,0.03245370090007782
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,documents,1792,1792,False,768,0.9999793767929077,0.0017494222847744823,0.08022835105657578,0.9197367429733276,165.8323211669922,0.2159275015195211,27.988046646118164,0.0357295386493206
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,queries,224,224,False,768,0.9997614026069641,0.001727034687064588,0.07529889047145844,0.9242651462554932,152.30703735351562,0.682991198894689,31.154953002929688,0.032097626477479935
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed271828/adamw-scale-matched/checkpoint-157,cosine,documents,1792,1792,False,768,1.0000075101852417,0.0017577885882928967,0.07226008921861649,0.927761971950531,161.20431518554688,0.20990145206451416,26.80576515197754,0.03730540722608566
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,2,0.4,157,dense/seed271828/adamw-scale-matched/checkpoint-157,cosine,queries,224,224,False,768,1.0000193119049072,0.0017706629587337375,0.07529456913471222,0.9247435927391052,152.41957092285156,0.6834958337347604,32.18581771850586,0.03106958605349064
