family,kind,seed,optimizer,learning_rate,run_id,stage,fraction,step,label,scorer,group,samples,candidates_per_sample,positive_score_mean,hardest_negative_score_mean,margin_mean,margin_median,margin_std,top1_accuracy,mean_reciprocal_rank,mean_candidate_score_std,reference_top_k,reference_mean_top_k_overlap,reference_top1_agreement,reference_score_drift_rms
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,NFCorpus,16,8,0.1582961529493332,0.17125171422958374,-0.012955565936863422,-0.038372308015823364,0.13021817803382874,0.4375,0.5881696939468384,0.06239839270710945,3,0.7291666666666666,0.5625,0.06002748757600784
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,NQ,16,8,0.5352888107299805,0.12266358733177185,0.412625253200531,0.4067918062210083,0.1189110204577446,1.0,1.0,0.19407184422016144,3,0.8125,1.0,0.07735855132341385
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,QuoraRetrieval,16,8,0.6289690136909485,0.14539536833763123,0.48357367515563965,0.48009103536605835,0.12195687741041183,1.0,1.0,0.2076902687549591,3,0.8125,1.0,0.054649144411087036
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,SCIDOCS,16,8,0.2913828492164612,0.21012261509895325,0.08126023411750793,0.10986083745956421,0.1648285835981369,0.75,0.809374988079071,0.09650760889053345,3,0.875,1.0,0.07472577691078186
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,SciFact,16,8,0.48746398091316223,0.2206822782754898,0.26678168773651123,0.24099653959274292,0.11084884405136108,1.0,1.0,0.1350240707397461,3,0.8125,0.9375,0.09110473096370697
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,TRECCOVID,16,8,0.43373870849609375,0.3473624587059021,0.08637628704309464,0.08473458886146545,0.11686823517084122,0.8125,0.8723958134651184,0.08083386719226837,3,0.7916666666666666,0.8125,0.08595294505357742
dense,checkpoint,161803,normuon,0.0018260319582594357,normuon-scale-matched,5,1.0,391,dense/seed161803/normuon-scale-matched/checkpoint-391,cosine,Touche2020,16,8,0.5242072939872742,0.21225640177726746,0.3119509220123291,0.3386217951774597,0.11028917878866196,1.0,1.0,0.13662268221378326,3,0.7708333333333333,1.0,0.07815517485141754
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,ArguAna,16,8,0.5271990895271301,0.29735067486763,0.22984838485717773,0.20620708167552948,0.10305404663085938,1.0,1.0,0.1320858746767044,3,0.9375,1.0,0.056461382657289505
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,ClimateFEVER,16,8,0.28426259756088257,0.2856317162513733,-0.001369137316942215,-0.00861918181180954,0.10141659528017044,0.4375,0.6293154954910278,0.08591469377279282,3,0.8333333333333333,0.5625,0.06635981798171997
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,DBPedia,16,8,0.4088602662086487,0.12552666664123535,0.28333359956741333,0.2735745310783386,0.16512049734592438,1.0,1.0,0.13121530413627625,3,0.8541666666666666,1.0,0.04382483661174774
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,FEVER,16,8,0.6028575897216797,0.22318510711193085,0.37967246770858765,0.3796696066856384,0.06863649189472198,1.0,1.0,0.16449695825576782,3,0.7291666666666666,1.0,0.1234646812081337
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,FiQA2018,16,8,0.46418654918670654,0.25512373447418213,0.20906281471252441,0.22492395341396332,0.09342069178819656,0.9375,0.96875,0.12036571651697159,3,0.8541666666666666,1.0,0.03915048763155937
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,HotpotQA,16,8,0.4491764307022095,0.178053081035614,0.27112334966659546,0.23359732329845428,0.16992437839508057,1.0,1.0,0.1367271989583969,3,0.9166666666666666,1.0,0.05322904512286186
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,MSMARCO,16,8,0.5420171022415161,0.13761883974075317,0.40439826250076294,0.38599294424057007,0.13397514820098877,1.0,1.0,0.19213062524795532,3,0.8125,1.0,0.061737846583127975
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,NFCorpus,16,8,0.1651744246482849,0.16623668372631073,-0.001062260940670967,-0.012667078524827957,0.13586612045764923,0.4375,0.6145833134651184,0.05729392170906067,3,0.8541666666666666,0.5625,0.050588998943567276
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,NQ,16,8,0.5272118449211121,0.1142171248793602,0.41299471259117126,0.39882606267929077,0.13233676552772522,1.0,1.0,0.18372556567192078,3,0.8333333333333334,1.0,0.07658594846725464
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,QuoraRetrieval,16,8,0.6612000465393066,0.16998523473739624,0.4912148416042328,0.4838171601295471,0.12642128765583038,1.0,1.0,0.212431401014328,3,0.8125,1.0,0.04122146964073181
dense,checkpoint,271828,adamw,0.00015409498859627469,adamw-scale-matched,1,0.2,79,dense/seed271828/adamw-scale-matched/checkpoint-79,cosine,SCIDOCS,16,8,0.28993844985961914,0.1907625049352646,0.09917593747377396,0.11648719012737274,0.16408400237560272,0.75,0.8151041269302368,0.0961279645562172,3,0.9166666666666666,0.9375,0.06083056330680847
