model_family,scope,optimizer,analysis,bridge,predictor,outcome,observations,spearman_rho
late,optimizer,adamw,checkpoint_levels,token-utilization-to-retrieval,unseen_token_evidence_entropy_mean,mean_beir_ndcg_at_10,20,-0.9142857142857143
late,optimizer,adamw,checkpoint_levels,token-utilization-to-retrieval,unseen_document_token_coverage_mean,mean_beir_ndcg_at_10,20,0.9548872180451128
late,optimizer,adamw,checkpoint_levels,token-utilization-to-retrieval,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10,20,-0.9609022556390977
late,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,16,0.5411764705882353
late,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,16,-0.4588235294117647
late,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,16,-0.9411764705882353
late,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,16,0.5294117647058824
late,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,16,-0.7911764705882353
late,optimizer,adamw,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,16,0.7617647058823529
late,optimizer,adamw,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,16,-0.7441176470588236
late,optimizer,adamw,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,16,-0.18235294117647058
late,optimizer,adamw,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.3735294117647059
late,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,16,-0.35
late,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.12352941176470589
late,optimizer,adamw,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,16,0.2735294117647059
late,optimizer,adamw,within_run_first_differences,token-utilization-to-retrieval,unseen_token_evidence_entropy_mean,mean_beir_ndcg_at_10,16,-0.19411764705882353
late,optimizer,adamw,within_run_first_differences,token-utilization-to-retrieval,unseen_document_token_coverage_mean,mean_beir_ndcg_at_10,16,0.6647058823529411
late,optimizer,adamw,within_run_first_differences,token-utilization-to-retrieval,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10,16,-0.5852941176470589
late,optimizer,muon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,-0.2932330827067669
late,optimizer,muon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,-0.6992481203007519
late,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,0.042105263157894736
late,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,20,0.5142857142857142
late,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,20,0.3022556390977444
late,optimizer,muon,checkpoint_levels,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,20,0.6135338345864662
late,optimizer,muon,checkpoint_levels,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,20,-0.8917293233082707
late,optimizer,muon,checkpoint_levels,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,20,0.631578947368421
late,optimizer,muon,checkpoint_levels,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.7473684210526316
late,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,20,0.9804511278195489
late,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,20,0.5819548872180451
late,optimizer,muon,checkpoint_levels,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,20,-0.5473684210526316
late,optimizer,muon,checkpoint_levels,token-utilization-to-retrieval,unseen_token_evidence_entropy_mean,mean_beir_ndcg_at_10,20,-0.14736842105263157
late,optimizer,muon,checkpoint_levels,token-utilization-to-retrieval,unseen_document_token_coverage_mean,mean_beir_ndcg_at_10,20,-0.05714285714285714
late,optimizer,muon,checkpoint_levels,token-utilization-to-retrieval,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10,20,0.021052631578947368
late,optimizer,muon,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,16,0.7323529411764705
late,optimizer,muon,within_run_first_differences,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,16,-0.11176470588235295
late,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,16,-0.6294117647058823
late,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_query_normalized_effective_rank,16,0.04411764705882353
late,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_margin_mean,16,-0.5647058823529412
late,optimizer,muon,within_run_first_differences,weight-to-representation,reference_delta_top_1pct_row_energy_parameter_weighted,unseen_query_normalized_effective_rank,16,0.026470588235294117
late,optimizer,muon,within_run_first_differences,objective-to-retrieval,mean_training_loss,mean_beir_ndcg_at_10,16,-0.4411764705882353
late,optimizer,muon,within_run_first_differences,representation-to-retrieval,training_margin_mean,mean_beir_ndcg_at_10,16,0.3764705882352941
late,optimizer,muon,within_run_first_differences,representation-to-retrieval,training_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,-0.07647058823529412
late,optimizer,muon,within_run_first_differences,representation-to-retrieval,unseen_margin_mean,mean_beir_ndcg_at_10,16,0.46176470588235297
late,optimizer,muon,within_run_first_differences,representation-to-retrieval,unseen_query_normalized_effective_rank,mean_beir_ndcg_at_10,16,0.047058823529411764
late,optimizer,muon,within_run_first_differences,representation-to-retrieval,unseen_reference_score_drift_rms,mean_beir_ndcg_at_10,16,-0.3058823529411765
late,optimizer,muon,within_run_first_differences,token-utilization-to-retrieval,unseen_token_evidence_entropy_mean,mean_beir_ndcg_at_10,16,-0.058823529411764705
late,optimizer,muon,within_run_first_differences,token-utilization-to-retrieval,unseen_document_token_coverage_mean,mean_beir_ndcg_at_10,16,0.3205882352941177
late,optimizer,muon,within_run_first_differences,token-utilization-to-retrieval,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10,16,-0.2235294117647059
late,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_margin_mean,20,-0.25413533834586466
late,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_displacement_to_weight_ratio,unseen_query_normalized_effective_rank,20,-0.7353383458646616
late,optimizer,normuon,checkpoint_levels,weight-to-representation,reference_delta_row_cv_parameter_weighted,unseen_margin_mean,20,0.3097744360902256
