model_family,optimizer,learning_rate,run_id,stage,fraction,step,mean_training_loss,weight_frobenius_norm,reference_displacement_frobenius_norm,previous_checkpoint_displacement_frobenius_norm,reference_displacement_to_weight_ratio,weight_row_cv_parameter_weighted,reference_delta_row_cv_parameter_weighted,weight_top_1pct_row_energy_parameter_weighted,reference_delta_top_1pct_row_energy_parameter_weighted,training_margin_mean,training_margin_median,training_top1_accuracy,training_mean_reciprocal_rank,training_reference_mean_top_k_overlap,training_reference_top1_agreement,training_reference_score_drift_rms,training_query_normalized_effective_rank,training_document_normalized_effective_rank,training_token_evidence_entropy_mean,training_token_evidence_gini_mean,training_document_token_coverage_mean,training_repeated_token_dominance_mean,unseen_margin_mean,unseen_margin_median,unseen_top1_accuracy,unseen_mean_reciprocal_rank,unseen_reference_mean_top_k_overlap,unseen_reference_top1_agreement,unseen_reference_score_drift_rms,unseen_query_normalized_effective_rank,unseen_document_normalized_effective_rank,unseen_token_evidence_entropy_mean,unseen_token_evidence_gini_mean,unseen_document_token_coverage_mean,unseen_repeated_token_dominance_mean,mean_beir_ndcg_at_10
dense,adamw,3e-05,adamw-lr3e-5,1,0.2,782,0.34475807428359984,1196.0329174524027,6.941996757068199,,0.005804185366281495,0.17900778578325388,0.11053487886599997,0.028178019952128597,0.022681181341469448,0.10176542401313782,0.0906495451927185,0.9423828125,0.9658772349357605,0.7080078125,0.7138671875,0.0886099636554718,0.42481036980946857,0.48110469182332355,,,,,0.2506982386112213,0.2575796842575073,0.8973214030265808,0.9276094436645508,0.849702380952381,0.9196428656578064,0.05407455563545227,0.6781545048871918,0.2171357274055481,,,,,0.5849521428571429
dense,adamw,3e-05,adamw-lr3e-5,2,0.4,1563,0.29748628616333006,1195.821215521469,9.614720349005465,5.985734686589089,0.008040265738898699,0.17901644512094597,0.09510307058811507,0.028181709677857512,0.020620444866724034,0.10624680668115616,0.09163959324359894,0.9619140625,0.9776855707168579,0.6936848958333333,0.7119140625,0.09509272128343582,0.42395981152852374,0.47342753410339355,,,,,0.25761669874191284,0.2747219502925873,0.9017857313156128,0.9303570985794067,0.8511904761904762,0.9151785969734192,0.059791434556245804,0.6767818981221974,0.21495044231414795,,,,,0.5891535714285714
dense,adamw,3e-05,adamw-lr3e-5,3,0.6,2345,0.2756471872329712,1195.6648658077618,10.845064146813321,4.383586152716924,0.009070321004612495,0.17902247333789573,0.08969523769648954,0.02818330493880147,0.019913614924279923,0.1118348017334938,0.0939977765083313,0.978515625,0.9878580570220947,0.6982421875,0.7216796875,0.09518945217132568,0.4269580841064453,0.48206575711568195,,,,,0.26121076941490173,0.27504846453666687,0.9017857313156128,0.9313668012619019,0.8586309523809524,0.9151785969734192,0.059171389788389206,0.6799130290078476,0.21675082047780356,,,,,0.588105
dense,adamw,3e-05,adamw-lr3e-5,4,0.8,3126,0.24671382427215577,1195.5710548631157,11.358123847676083,2.7358927008265064,0.009500166302517675,0.179026392183919,0.08871986148231488,0.02818444169021864,0.01986703499504191,0.1150495707988739,0.09801928699016571,0.9853515625,0.991650402545929,0.6907552083333333,0.71875,0.09706595540046692,0.43113672733306885,0.4869496822357178,,,,,0.26336607336997986,0.27524954080581665,0.9017857313156128,0.9311808347702026,0.8467261904761905,0.9196428656578064,0.05948939919471741,0.683386969459431,0.2180633544921875,,,,,0.5880442857142857
dense,adamw,3e-05,adamw-lr3e-5,5,1.0,3907,0.2572331738471985,1195.5435346046916,11.47092216641425,1.068742631765133,0.009594733971947855,0.17902849424371425,0.08905218667624627,0.028184923188970052,0.019936864717519858,0.11485468596220016,0.09872101247310638,0.9873046875,0.9930826425552368,0.69140625,0.71484375,0.09667558968067169,0.4298941294352214,0.48467926184336346,,,,,0.2644259035587311,0.27765971422195435,0.8883928656578064,0.9245268702507019,0.8422619047619048,0.9107142686843872,0.06043734773993492,0.6819452533807455,0.21667444705963135,,,,,0.5898671428571428
dense,adamw,3e-06,adamw-lr3e-6,1,0.2,782,0.5766511201858521,1196.237693683108,1.5388128659672298,,0.0012863771757846583,0.178997522747931,0.25489319008301925,0.028173557532463162,0.04293646462221834,0.07880013436079025,0.07007110118865967,0.88671875,0.9331007599830627,0.7884114583333333,0.759765625,0.052316632121801376,0.41858120759328205,0.5053930679957072,,,,,0.22989143431186676,0.24341478943824768,0.8794642686843872,0.9191592335700989,0.8943452380952381,0.9732142686843872,0.026406550779938698,0.6703832652002172,0.2185924251874288,,,,,0.5639535714285714
dense,adamw,3e-06,adamw-lr3e-6,2,0.4,1563,0.46317563533782957,1196.2343378466128,2.2617739822869685,1.046189382282225,0.0018907449073552547,0.17900002342374885,0.2669860412451354,0.028174555053645595,0.046985373916951095,0.08835999667644501,0.0772116631269455,0.923828125,0.953362226486206,0.7483723958333333,0.7275390625,0.06851968914270401,0.42587534586588544,0.4981822967529297,,,,,0.23863551020622253,0.24120467901229858,0.8883928656578064,0.9240327477455139,0.8764880952380952,0.9598214030265808,0.036875929683446884,0.674074592077144,0.21964341402053833,,,,,0.5747414285714285
dense,adamw,3e-06,adamw-lr3e-6,3,0.6,2345,0.41634552001953123,1196.2324198011365,2.6043177993419673,0.6289639501009432,0.002177100165680941,0.17900168844922024,0.2675006137612988,0.028175163366657527,0.047622545079432706,0.09205727279186249,0.08142057061195374,0.9287109375,0.9563174247741699,0.7356770833333333,0.7197265625,0.07376854866743088,0.4248553117116292,0.49376710255940753,,,,,0.24279920756816864,0.24569383263587952,0.8973214030265808,0.928390622138977,0.8645833333333333,0.9464285969734192,0.04045281559228897,0.6736928486503293,0.21905318895975748,,,,,0.5813035714285714
dense,adamw,3e-06,adamw-lr3e-6,4,0.8,3126,0.3901086187362671,1196.2316405060167,2.77483711855484,0.3631981432875769,0.0023196486571623025,0.17900257702060243,0.26709505180544396,0.028175486630217277,0.04766761660974293,0.09378866851329803,0.08214309811592102,0.9326171875,0.9583030939102173,0.7317708333333333,0.71875,0.07526342570781708,0.42505796750386554,0.4933738311131795,,,,,0.24418719112873077,0.24968689680099487,0.8928571343421936,0.9261584877967834,0.8630952380952381,0.9419642686843872,0.041700176894664764,0.673511727508408,0.2191448211669922,,,,,0.5829928571428571
dense,adamw,3e-06,adamw-lr3e-6,5,1.0,3907,0.3975953412055969,1196.23133274414,2.8279818437811852,0.1323854310068195,0.002364076049817078,0.1790028975549388,0.2673555938676398,0.028175585908207665,0.047711376658576055,0.09410959482192993,0.08240470290184021,0.93359375,0.9590355157852173,0.7301432291666666,0.71875,0.07566063851118088,0.4249426523844401,0.49246188004811603,,,,,0.24441350996494293,0.249099999666214,0.8928571343421936,0.9263445734977722,0.8586309523809524,0.9419642686843872,0.04220292344689369,0.6732593074507778,0.21888184547424316,,,,,0.5834128571428572
dense,muon,0.001,muon-lr1e-3,1,0.2,782,0.3558432936668396,1189.9884581504762,40.142250793117434,,0.03373331104026672,0.17880126690482073,0.176183279429408,0.028161147031634248,0.021551848630754548,0.10671583563089371,0.09899257123470306,0.9384765625,0.965211033821106,0.6555989583333333,0.7021484375,0.09985547512769699,0.4121357202529907,0.436038335164388,,,,,0.246878519654274,0.2580459713935852,0.875,0.9155983924865723,0.8050595238095238,0.90625,0.082657590508461,0.669041381288537,0.20328791936238608,,,,,0.5818628571428571
dense,muon,0.001,muon-lr1e-3,2,0.4,1563,0.3231599116325378,1183.403823291974,56.9042480053044,39.176750997068254,0.04808523251767859,0.17861533110194347,0.1681716227156912,0.02814779337993599,0.020889310597038684,0.11252415925264359,0.10173395276069641,0.9619140625,0.9779064059257507,0.6559244791666666,0.703125,0.10073158890008926,0.4094615379969279,0.4239984353383382,,,,,0.25262483954429626,0.2749246656894684,0.8794642686843872,0.9166401028633118,0.8050595238095238,0.9017857313156128,0.08544155210256577,0.6638652305431965,0.19797470172246298,,,,,0.5914078571428572
dense,muon,0.001,muon-lr1e-3,3,0.6,2345,0.2873372006416321,1178.651806468317,64.25932067271945,28.278774724627457,0.054519341776825915,0.17853444177199174,0.1618952919445175,0.0281400244961926,0.020469698898075896,0.1208866611123085,0.11083225905895233,0.97265625,0.9847005605697632,0.6546223958333333,0.7060546875,0.10387564450502396,0.4128432273864746,0.4323280652364095,,,,,0.26042085886001587,0.2823641300201416,0.8928571343421936,0.9247501492500305,0.8020833333333333,0.8928571343421936,0.08167552947998047,0.6699240646020179,0.19995822509129843,,,,,0.5850242857142858
dense,muon,0.001,muon-lr1e-3,4,0.8,3126,0.2462471079826355,1175.7580541768932,67.11712841239304,17.334667644271143,0.05708413238077232,0.17851726467756027,0.15760024083668694,0.02813843899172417,0.02023557471709057,0.13077399134635925,0.11571398377418518,0.9873046875,0.9932454824447632,0.6549479166666666,0.7109375,0.10220106691122055,0.41937534014383954,0.448733647664388,,,,,0.26203009486198425,0.2800402045249939,0.8883928656578064,0.923038899898529,0.7946428571428571,0.8883928656578064,0.08089614659547806,0.6738605584798907,0.20333464940388998,,,,,0.5893692857142857
