model_family,optimizer,learning_rate,run_id,stage,fraction,checkpoint_step,observed_step,window_start_step,window_observations,mean_loss,loss_standard_deviation,median_grad_norm,end_learning_rate,end_epoch
late,muon,0.0001,muon-lr1e-4,4,0.8,3126,3120,3030,10,0.2569072437286377,0.026643103303658284,0.6135443150997162,2.2411831626848694e-05,0.79872
late,muon,0.0001,muon-lr1e-4,5,1.0,3907,3900,3810,10,0.27368512392044064,0.022746392644332748,0.6160585880279541,2.2753128555176338e-07,0.9984
late,muon,0.0003,muon-lr3e-4,1,0.2,782,780,690,10,0.307237823009491,0.021106240927745032,0.6028103232383728,0.0002668941979522184,0.19968
late,muon,0.0003,muon-lr3e-4,2,0.4,1563,1560,1470,10,0.2510396432876587,0.014397458542754626,0.6416480243206024,0.00020034129692832764,0.39936
late,muon,0.0003,muon-lr3e-4,3,0.6,2345,2340,2250,10,0.22775286436080933,0.01525435117138787,0.5596491396427155,0.00013378839590443684,0.59904
late,muon,0.0003,muon-lr3e-4,4,0.8,3126,3120,3030,10,0.20186519861221314,0.022462436018045966,0.55397629737854,6.723549488054606e-05,0.79872
late,muon,0.0003,muon-lr3e-4,5,1.0,3907,3900,3810,10,0.2141183638572693,0.02013341301743344,0.5287900269031525,6.8259385665529e-07,0.9984
late,muon,0.001,muon-lr1e-3,1,0.2,782,780,690,10,0.30014327049255374,0.019088639713845133,0.49823296070098877,0.0008896473265073947,0.19968
late,muon,0.001,muon-lr1e-3,2,0.4,1563,1560,1470,10,0.2553229737281799,0.019446964239036014,0.5693026781082153,0.0006678043230944255,0.39936
late,muon,0.001,muon-lr1e-3,3,0.6,2345,2340,2250,10,0.22727020502090453,0.015811390794838932,0.5090525597333908,0.0004459613196814562,0.59904
late,muon,0.001,muon-lr1e-3,4,0.8,3126,3120,3030,10,0.19202725052833558,0.016130915933835577,0.49158166348934174,0.00022411831626848692,0.79872
late,muon,0.001,muon-lr1e-3,5,1.0,3907,3900,3810,10,0.19931559920310973,0.020564160948178017,0.48989473283290863,2.2753128555176335e-06,0.9984
late,muon,0.003,muon-lr3e-3,1,0.2,782,780,690,10,0.43943052291870116,0.018527452341308016,0.49004538357257843,0.0026689419795221845,0.19968
late,muon,0.003,muon-lr3e-3,2,0.4,1563,1560,1470,10,0.374552481174469,0.02079460472961287,0.4707517772912979,0.0020034129692832765,0.39936
late,muon,0.003,muon-lr3e-3,3,0.6,2345,2340,2250,10,0.3337261748313904,0.011920327182018749,0.4394845962524414,0.0013378839590443687,0.59904
late,muon,0.003,muon-lr3e-3,4,0.8,3126,3120,3030,10,0.27560903787612917,0.018874654058001476,0.44568222761154175,0.0006723549488054607,0.79872
late,muon,0.003,muon-lr3e-3,5,1.0,3907,3900,3810,10,0.2550277495384216,0.01732488424856519,0.3982352912425995,6.8259385665529e-06,0.9984
late,adamw,1e-06,adamw-lr1e-6,1,0.2,782,780,690,10,0.6948980903625488,0.03907880111267873,1.2967091798782349,8.896473265073947e-07,0.19968
late,adamw,1e-06,adamw-lr1e-6,2,0.4,1563,1560,1470,10,0.5418621206283569,0.027500228958256077,1.0762136578559875,6.678043230944254e-07,0.39936
late,adamw,1e-06,adamw-lr1e-6,3,0.6,2345,2340,2250,10,0.4749212455749512,0.022459112747883703,0.8342225551605225,4.459613196814562e-07,0.59904
late,adamw,1e-06,adamw-lr1e-6,4,0.8,3126,3120,3030,10,0.44414736509323116,0.031037721553689872,0.8217006027698517,2.241183162684869e-07,0.79872
late,adamw,1e-06,adamw-lr1e-6,5,1.0,3907,3900,3810,10,0.465772385597229,0.026784181556335926,0.8772971034049988,2.2753128555176336e-09,0.9984
late,adamw,3e-06,adamw-lr3e-6,1,0.2,782,780,690,10,0.49803656578063965,0.025800783237190365,0.8213153779506683,2.6689419795221843e-06,0.19968
late,adamw,3e-06,adamw-lr3e-6,2,0.4,1563,1560,1470,10,0.4055020833015442,0.019903134235775208,0.7357077598571777,2.0034129692832767e-06,0.39936
late,adamw,3e-06,adamw-lr3e-6,3,0.6,2345,2340,2250,10,0.36715016841888426,0.013737513582492932,0.6348751485347748,1.3378839590443685e-06,0.59904
late,adamw,3e-06,adamw-lr3e-6,4,0.8,3126,3120,3030,10,0.34164710521698,0.02765999367741308,0.6441304087638855,6.723549488054607e-07,0.79872
late,adamw,3e-06,adamw-lr3e-6,5,1.0,3907,3900,3810,10,0.36003321170806885,0.02583611573512797,0.6954613029956818,6.825938566552901e-09,0.9984
late,adamw,1e-05,adamw-lr1e-5,1,0.2,782,780,690,10,0.38135581254959106,0.02031724842193686,0.6323639154434204,8.896473265073948e-06,0.19968
late,adamw,1e-05,adamw-lr1e-5,2,0.4,1563,1560,1470,10,0.31279750108718873,0.017359773411737854,0.6413976848125458,6.678043230944255e-06,0.39936
late,adamw,1e-05,adamw-lr1e-5,3,0.6,2345,2340,2250,10,0.2875770354270935,0.014369203052615794,0.5997364521026611,4.459613196814562e-06,0.59904
late,adamw,1e-05,adamw-lr1e-5,4,0.8,3126,3120,3030,10,0.26272517681121826,0.026611456531118186,0.6161137819290161,2.2411831626848693e-06,0.79872
late,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,3900,3810,10,0.2797796559333801,0.023303043165238048,0.6180573403835297,2.2753128555176337e-08,0.9984
late,adamw,3e-05,adamw-lr3e-5,1,0.2,782,780,690,10,0.3181724739074707,0.020358864375410873,0.5500821471214294,2.6689419795221844e-05,0.19968
