model_family,optimizer,learning_rate,run_id,stage,step,hidden_tensors,hidden_parameters,weight_frobenius_norm,reference_displacement_frobenius_norm,previous_checkpoint_displacement_frobenius_norm,reference_displacement_to_weight_ratio,weight_row_cv_parameter_weighted,reference_delta_row_cv_parameter_weighted,weight_top_1pct_row_energy_parameter_weighted,reference_delta_top_1pct_row_energy_parameter_weighted
late,muon,0.0001,muon-lr1e-4,2,1563,88,110297088,1157.1520708279947,7.329867334343591,4.433342265378653,0.006334402814574526,0.18699761677314253,0.20320283482100238,0.02890384949763669,0.028492772934290974
late,muon,0.0001,muon-lr1e-4,3,2345,88,110297088,1156.6483909265983,8.475278337047012,3.068164149786206,0.007327445750611742,0.18699806664676907,0.20192543415223213,0.02890367896101851,0.028514881595909435
late,muon,0.0001,muon-lr1e-4,4,3126,88,110297088,1156.3476453335431,8.988994005446164,1.8364491928354432,0.00777360860440316,0.18699939404539564,0.2012966963497394,0.028903760576252154,0.028677632322505038
late,muon,0.0001,muon-lr1e-4,5,3907,88,110297088,1156.2402092843256,9.1281804024843,0.6830968976119883,0.007894709359860735,0.18699975670340227,0.20120310376990924,0.028903784770717755,0.028789135445666345
late,muon,0.0003,muon-lr3e-4,1,782,88,110297088,1156.5850357356032,13.266554866421592,,0.01147045349586759,0.18697940916779207,0.18633605089576485,0.028903131833907594,0.023626814220339697
late,muon,0.0003,muon-lr3e-4,2,1563,88,110297088,1154.5310801075855,18.961414944086815,12.337291009472787,0.016423477263444383,0.18695954337995002,0.18128171869937112,0.028901008435868642,0.023192794971108276
late,muon,0.0003,muon-lr3e-4,3,2345,88,110297088,1153.0541987620206,21.61059825625735,8.790069895979057,0.018742048968261527,0.1869502072147826,0.17786896534084795,0.028900021490426784,0.023096211852236866
late,muon,0.0003,muon-lr3e-4,4,3126,88,110297088,1152.1653633683466,22.704073498124984,5.334682303044062,0.01970556850602573,0.18694968426968644,0.1754994111802967,0.028899950366268023,0.023054025285344393
late,muon,0.0003,muon-lr3e-4,5,3907,88,110297088,1151.8650792524045,22.95379809304053,2.005445958885283,0.01992750583943238,0.18695000987400345,0.17467859686715878,0.028899873126258347,0.023068126970852282
late,muon,0.001,muon-lr1e-3,1,782,88,110297088,1152.498082665211,40.79487259805461,,0.035396911467058034,0.1867233121140118,0.17837373915820676,0.028885154578994144,0.021581216516062856
late,muon,0.001,muon-lr1e-3,2,1563,88,110297088,1146.1145843821994,57.815799600510765,39.525075858512906,0.050445043094601,0.18645332419975874,0.17169970463722306,0.028864418380560083,0.021118465733818988
late,muon,0.001,muon-lr1e-3,3,2345,88,110297088,1141.469959709872,65.32224954440042,28.4392939694864,0.057226428946937344,0.1863192168368216,0.16658939151740806,0.028853398453902432,0.020852753240117095
late,muon,0.001,muon-lr1e-3,4,3126,88,110297088,1138.63495605647,68.22003825123912,17.446084354431655,0.059913880114405856,0.18627630952088273,0.1629752973592616,0.02884886954178944,0.020685828365584746
late,muon,0.001,muon-lr1e-3,5,3907,88,110297088,1137.6727017559442,68.78406796977958,6.623095543208121,0.06046033086986672,0.18627239751783922,0.16162208491627544,0.02884806773281671,0.02064246443762658
late,muon,0.003,muon-lr3e-3,1,782,88,110297088,1143.9513279715834,117.8230410867254,,0.10299655081973226,0.18444867715996535,0.1761454641918607,0.028718164526822573,0.020749903846791085
late,muon,0.003,muon-lr3e-3,2,1563,88,110297088,1128.640048994276,165.58402867065456,115.1530387414459,0.14671110494280745,0.18204783324530738,0.16726916636972822,0.028536520320623315,0.020162718365576496
late,muon,0.003,muon-lr3e-3,3,2345,88,110297088,1116.998204619481,185.84223415724168,83.04892366152218,0.16637648421337534,0.18085654335903292,0.1609839389130553,0.028437087369614585,0.01984470013658551
late,muon,0.003,muon-lr3e-3,4,3126,88,110297088,1109.4921137600859,193.22504338965626,50.926993310477634,0.1741563017828163,0.18045140124538683,0.1569427663091829,0.028400886930863966,0.019674519096864736
late,muon,0.003,muon-lr3e-3,5,3907,88,110297088,1106.8197307333608,194.4410872144229,19.515715762874308,0.17567547976904008,0.18041079615885242,0.15537475351303975,0.02839704790715387,0.019617752331423568
late,normuon,0.0001,normuon-lr1e-4,1,782,88,110297088,1157.8546980402264,4.959326555289357,,0.004283202861018282,0.1869963198442032,0.08342879001589064,0.028903297900675452,0.019766289354824926
late,normuon,0.0001,normuon-lr1e-4,2,1563,88,110297088,1157.1495006363646,7.336086478912616,4.436147524661846,0.006339791422697065,0.18699686413501354,0.08808165383749308,0.02890335671593719,0.020412735892509554
late,normuon,0.0001,normuon-lr1e-4,3,2345,88,110297088,1156.6454549095035,8.490970661541017,3.0638796911484714,0.007341031450476199,0.1869969721285895,0.09013321341319198,0.0289030776852194,0.020608661043890975
late,normuon,0.0001,normuon-lr1e-4,4,3126,88,110297088,1156.3445332249553,9.011462129382501,1.832208750923761,0.007793059828155396,0.1869979431145491,0.09222343387729663,0.02890307890042105,0.020881868390874428
late,normuon,0.0001,normuon-lr1e-4,5,3907,88,110297088,1156.2368894030878,9.153441726288282,0.6809384466649582,0.0079165799069201,0.18699821897528388,0.09331460967460736,0.028903102504716997,0.02102527957419581
late,normuon,0.0003,normuon-lr3e-4,1,782,88,110297088,1156.5832959293239,13.262053561891738,,0.011466578852183381,0.18698150960399823,0.04858999915002661,0.02890230705065125,0.015134603370299793
late,normuon,0.0003,normuon-lr3e-4,2,1563,88,110297088,1154.5297374975285,18.97776815911312,12.318461978976156,0.01643766075722562,0.1869648101435785,0.04830993516719278,0.028900826974886464,0.015168536100835404
late,normuon,0.0003,normuon-lr3e-4,3,2345,88,110297088,1153.0521528471702,21.643134673070367,8.768612618467024,0.018770299868594954,0.1869566464288668,0.04987240087161249,0.028899729378860105,0.01536793306091412
late,normuon,0.0003,normuon-lr3e-4,4,3126,88,110297088,1152.1635826669797,22.746698185092676,5.319056446913636,0.019742594304568782,0.1869558554521219,0.051522117904960155,0.028899515869424623,0.015603925776294368
late,normuon,0.0003,normuon-lr3e-4,5,3907,88,110297088,1151.8632060764287,23.002433356617175,1.9981910479203966,0.019969761370336635,0.18695622302073847,0.05230691366614824,0.02889946412623805,0.0157006035389548
late,normuon,0.001,normuon-lr1e-3,1,782,88,110297088,1152.503719146587,40.79495161942178,,0.03539680691844524,0.18676952584422526,0.0315349030004625,0.02888641548019281,0.012704576213749494
late,normuon,0.001,normuon-lr1e-3,2,1563,88,110297088,1146.121981292856,57.86412368885016,39.505846274797804,0.05048688065783181,0.18654610346106285,0.03287263668794683,0.02886845913272411,0.0129281364451038
late,normuon,0.001,normuon-lr1e-3,3,2345,88,110297088,1141.4733466254,65.42436431246568,28.406071001951204,0.057315717888537045,0.18642964074637164,0.03498728007556283,0.028858141388425376,0.0132326757246479
late,normuon,0.001,normuon-lr1e-3,4,3126,88,110297088,1138.6361798552402,68.35363349408917,17.38735700114826,0.06003114489369138,0.18639353938639802,0.03682771472529294,0.028855580313599364,0.013503161102114993
late,normuon,0.001,normuon-lr1e-3,5,3907,88,110297088,1137.6743705802246,68.93006620963648,6.598998026195815,0.060588572611055214,0.18638973668177816,0.037618793407704104,0.02885457631051142,0.013608840993919315
late,normuon,0.003,normuon-lr3e-3,1,782,88,110297088,1143.975225345992,117.60414514158367,,0.10280305249269243,0.18486759698088157,0.029347293437483477,0.02873190079521846,0.012314375895847452
late,normuon,0.003,normuon-lr3e-3,2,1563,88,110297088,1128.6285522174912,165.51188864735863,115.01526350419064,0.1466486811113953,0.18282713185258728,0.03217499633444184,0.02856873932050511,0.012665151613440744
late,normuon,0.003,normuon-lr3e-3,3,2345,88,110297088,1116.965308657368,185.9304608227194,82.9182160187086,0.1664603720291138,0.18181025422113464,0.03495021208244212,0.028477774746217988,0.0130397964986091
late,normuon,0.003,normuon-lr3e-3,4,3126,88,110297088,1109.4467261494724,193.42121257899336,50.877437426643255,0.17434024367289386,0.18145057688502067,0.037134250630948315,0.028444550059895147,0.013340984406397942
late,normuon,0.003,normuon-lr3e-3,5,3907,88,110297088,1106.7756575920473,194.66693073045366,19.471243935634657,0.1758865307482278,0.18141431746914743,0.03808194132930136,0.028442308782315986,0.01347022355200454
