baseline,conditioned_on_displacement,feature,fold,status,baseline_mse_exact,feature_mse_exact,baseline_rmse,feature_rmse,improves,training_residual_energy_exact,train_rows,test_rows
B0_original,False,mean_saved_segment_subspace_overlap_to_adamw,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,1899184982996441432646140139366926692805883781376445521700544544175699791545805798093380288814103298871536626398445769826733120369350496375612430230263635913/5298565744706088849170815817116896426546413438544763651995601328626104613957651990824694536076261199599087408432892593444798591830387040108696788428390400000000,0.017876202144836942,0.018932347623031247,False,17958782046774243282820858903884828737438550067687700126138825/131493756281635200822063608392306141007199588046190138961690624,45,15
B0_original,False,mean_saved_segment_subspace_overlap_to_adamw,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,14556854929052302544704175375561588635100829441159598624432523437155960763575150403604158933322567612151581590416171932120500001001567712188672708805375999771/8219789800510570308796356859652994805174942349384714080403202235553939749778462372715996924195404941129455421373271190077552288573141835343525463845761764556800,0.043233766395369064,0.04208268304135336,True,387425943423899202651649121670116572379131784764730915906393057/2315605754880345037260802986801672021519582758807916350086840320,45,15
B0_original,False,mean_cumulative_subspace_overlap_to_adamw,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,1237718269172806907198268902004810137459310653707338148202972396440676779210598085057110856380977185960710877212850989479687558446340846243103468751806988241/423498555258606237166576076406542763350134153330413909565994741707988392549530028761140405466553431554205026554257857381396438978349917646501670954547439206400,0.03227045896603462,0.05406110696147684,False,62182662305886007682188896665996648365593418764905775349041151/1736704316160258777945602240101254016139687069105937262565130240,45,15
B0_original,False,mean_cumulative_subspace_overlap_to_adamw,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,86116902497485938566720371406092231197622365498970304905771020467043877364326855763434059234149062809869973809974635942142768965496997136598461108278277707/415869145575163570752285336071148527598704822547037203124591876367346782898905904740982768293439301444166974534781150652929584607659108961010304815254313369600,0.012096372185435933,0.014390167535656445,False,170618054787129920624110052453182346890404022773161524523328757/657468781408176004110318041961530705035997940230950694808453120,45,15
B0_original,False,mean_cumulative_subspace_overlap_to_adamw,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,154819253349427619549255308256018846577380536345193669792778482350645818116126970743910580926924592801259644765423499947940751863178670467409658142043839113/266192621079219660874424662372541065152784874471051026540119259414849414043278385563405778745157712303631725855926378625395361467136026886030936700376370380800,0.017876202144836942,0.024116511031616494,False,23239944948805843947468718987862168065972832671005901055345971/146104173646261334246737342658117934452443986717989043290767360,45,15
B0_original,False,mean_cumulative_subspace_overlap_to_adamw,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,66785267857831285259635413225978504024896744792367535173808627680363038406605222747216393190916168794254986319952989687078891517120222191726352942318509173763/35287924547526476216237127181976745138813338517867890167006707937191626147924568939826528469454092714214365821601286337352647460937364086405110877406476474777600,0.043233766395369064,0.04350380844712565,False,463458417218006628778415744103335642488731930497202096976156891/1736704316160258777945602240101254016139687069105937262565130240,45,15
B0_original,False,exact_nonzero_saved_segment_stable_rank_fraction,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,65481490161085264701617231440922221517711910038619357705631099672555463039147904400136118993133171791131454995430716428429255476736956149344346755751093/62228294021148057026767810751438261843826516447359175443025279138868430014441502402862924776222006339156275043275086317001327529098487171547432201748480000,0.03227045896603462,0.03243884103871481,False,1492383114488189036755240904799300131966140774824810925148113/115780287744017251863040149340083601075979137940395817504342016,45,15
B0_original,False,exact_nonzero_saved_segment_stable_rank_fraction,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,118874475328306176391712779935941385578909108977617169097794061325676712499812738569214088803040479534559117871115658533687412831390377394426571133835646273/620780518804072373849657689397531524110873846048836997388853670889091986858004985635272563405719217138355587133271702803710295964623207306901796743865276825600,0.012096372185435933,0.01383806183149444,False,61470501432418853216195450464986072614578641945614526552157819/1314937562816352008220636083923061410071995880461901389616906240,45,15
B0_original,False,exact_nonzero_saved_segment_stable_rank_fraction,3,resolved,5196025943548907531014009450216976700143970544982390085221230309959181611685297825111/16260009565593641023423055716249950912138979817025120267542202709151485911820999034142720,2229147879951832725880014421805128491414873677983116409313326956220087227297526839643984213095343280106041545037372215276854154128046612612796611524366723269/5888669674154431355110277774300793365178733165725152468691428610021780078369721575759515336288383505893875320274321734379025104537526281539993476826364326707200,0.017876202144836942,0.019456326405042957,False,16734060230677044743839390244720686685790418819457391355327513/328734390704088002055159020980765352517998970115475347404226560,45,15
B0_original,False,exact_nonzero_saved_segment_stable_rank_fraction,4,resolved,88360302378788955681063222091998206205873834571821652176982737391256695758390313891159/47272769910650044286667739366411107392383332240500647444824668098496869939611981525811200,1790547455220690249028211410622339738172561805293300954602014242426366058366082749679360299667064627414827759549318990094755060523252223015207798309103046919/893998571569886897084433902895847714592997482701888720748672360660740504783613682794116659498122405834486470842812245127162966997031496064277562083215881011200,0.043233766395369064,0.04475324237008003,False,13040406792207742834745573136498004638034854760581685791502489/289450719360043129657600373350209002689947844850989543760855040,45,15
B0_original,False,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,1,resolved,9845807269147193278121897479789258526094283204235252913219129033065805519704871819529/9454553982130008857333547873282221478476666448100129488964933619699373987922396305162240,11731563324469992610743535097908341809049340087795505345084999408802717301015187304081360416613293178639112480368757361888778956099095025221498128239/26454312600830642086179707933944088492866499097529798386446959882204318719626131716951132163528739057477951761176809225614055584025968443389057678966784,0.03227045896603462,0.021058610115296077,True,31723855664073512954314854289505489848819412858764525824337/1696000308750252712837502187598880875136413153423766857973760,45,15
B0_original,False,full_spectrum_nonzero_saved_segment_entropy_rank_fraction,2,resolved,11896003488244700534325264717820502162128122080766456214916688215202921205181928792563/81300047827968205117115278581249754560694899085125601337711013545757429559104995170713600,710714146438018838382392090110567044977736677501468137875187578986912723278961074633181606206622268437528303089595013547854593054049168552624504786731/8322778816940043184736561119816227392045463930201210291186866299969164010089651210428443647064124370464963238483958424101982836573077746479422442045440000,0.012096372185435933,0.009240879420837421,True,45015480298536150892843050299149764376149212696614380801341/1027294970950275006422371940564891726618746781610860460638208,45,15
