family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensor,rows,columns,rank,frobenius_norm,spectral_norm,stable_rank,nuclear_norm,entropy_effective_rank,condition_number
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,0.layers.10.attn.Wqkv.weight,2304,768,768,151.80638122558594,41.7879753112793,13.197065353393555,2851.472412109375,531.0947875976562,47.30743408203125
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,0.layers.10.mlp.Wi.weight,2304,768,768,156.16091918945312,39.37360763549805,15.730199813842773,3086.1513671875,557.0745239257812,71.53398132324219
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,0.layers.21.attn.Wqkv.weight,2304,768,768,136.22894287109375,41.142642974853516,10.963630676269531,2231.5751953125,465.50604248046875,68.48995208740234
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,adamw,0.layers.21.mlp.Wi.weight,2304,768,768,153.1626434326172,61.29892349243164,6.243095874786377,1948.453369140625,383.6123962402344,328.81610107421875
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.91445922851562,3.893799066543579,442.5618896484375,2206.990966796875,744.23095703125,880.1544799804688
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.layers.0.mlp.Wi.weight,2304,768,768,153.4015655517578,7.011977195739746,478.6064758300781,4179.65771484375,754.4844970703125,19.768625259399414
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.81324768066406,7.14661169052124,451.2518615722656,4104.47265625,747.9800415039062,10.137722969055176
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.layers.10.mlp.Wi.weight,2304,768,768,156.1702423095703,7.117843151092529,481.3929443359375,4255.54541015625,754.6172485351562,11.596170425415039
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.23568725585938,7.813540458679199,304.0087585449219,3359.68359375,661.91943359375,13.114455223083496
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,muon,0.layers.21.mlp.Wi.weight,2304,768,768,153.1651153564453,20.256210327148438,57.174625396728516,2047.049072265625,283.5758361816406,103.91525268554688
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.91334533691406,4.414663314819336,344.2818603515625,2187.5048828125,737.5922241210938,956.3035888671875
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.layers.0.mlp.Wi.weight,2304,768,768,153.39942932128906,8.109552383422852,357.8110656738281,4146.00146484375,748.166259765625,22.00758171081543
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.8131103515625,8.577327728271484,313.2669372558594,4053.7861328125,738.8485717773438,12.87298583984375
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.layers.10.mlp.Wi.weight,2304,768,768,156.1678466796875,8.605018615722656,329.3666687011719,4204.46923828125,745.3258666992188,13.864753723144531
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.layers.21.attn.Wqkv.weight,2304,768,768,136.23355102539062,15.64091968536377,75.86537170410156,3151.76904296875,627.4633178710938,24.403392791748047
dense,checkpoint,adamw,1e-05,adamw-lr1e-5,5,1.0,3907,dense/adamw-lr1e-5/checkpoint-3907,normuon,0.layers.21.mlp.Wi.weight,2304,768,768,153.16607666015625,24.41129493713379,39.36801528930664,2033.244140625,295.0477294921875,90.81986236572266
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,0.layers.0.attn.Wqkv.weight,2304,768,768,81.5237808227539,18.635902404785156,19.13673210144043,1565.4747314453125,536.3087158203125,58.929359436035156
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,0.layers.0.mlp.Wi.weight,2304,768,768,152.62554931640625,38.68398666381836,15.566539764404297,2861.931640625,532.3323364257812,42.37636184692383
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,0.layers.10.attn.Wqkv.weight,2304,768,768,151.0413055419922,38.99213790893555,15.005045890808105,2823.4375,527.9197387695312,43.92807388305664
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,0.layers.10.mlp.Wi.weight,2304,768,768,155.37332153320312,39.68077087402344,15.33178424835205,3026.648193359375,549.389892578125,75.76818084716797
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,0.layers.21.attn.Wqkv.weight,2304,768,768,135.5985870361328,40.9247932434082,10.97835636138916,2113.754150390625,446.9972229003906,74.09114074707031
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,adamw,0.layers.21.mlp.Wi.weight,2304,768,768,152.43692016601562,63.850006103515625,5.699784278869629,1854.35595703125,373.6764831542969,323.6478576660156
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.52739715576172,4.003837585449219,414.62384033203125,2168.793212890625,732.324951171875,1701.9024658203125
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.layers.0.mlp.Wi.weight,2304,768,768,152.6324462890625,7.166096210479736,453.6579284667969,4133.89697265625,749.4441528320312,22.631057739257812
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.05288696289062,7.210936546325684,438.80816650390625,4067.876953125,744.44921875,10.644645690917969
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.layers.10.mlp.Wi.weight,2304,768,768,155.3744659423828,7.210500240325928,464.3318786621094,4220.2265625,751.9739379882812,12.847588539123535
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.layers.21.attn.Wqkv.weight,2304,768,768,135.60369873046875,8.520445823669434,253.29022216796875,3174.994140625,615.477294921875,19.419933319091797
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,muon,0.layers.21.mlp.Wi.weight,2304,768,768,152.43861389160156,21.591567993164062,49.84500503540039,2010.1156005859375,281.9906311035156,107.5251235961914
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.layers.0.attn.Wqkv.weight,2304,768,768,81.52706909179688,4.585619926452637,316.087646484375,2152.15380859375,726.9343872070312,1894.486572265625
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.layers.0.mlp.Wi.weight,2304,768,768,152.6329345703125,8.208402633666992,345.7635498046875,4099.3076171875,742.99560546875,25.62232780456543
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.layers.10.attn.Wqkv.weight,2304,768,768,151.0481414794922,8.799457550048828,294.6585388183594,4015.3955078125,735.1921997070312,13.76367473602295
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.layers.10.mlp.Wi.weight,2304,768,768,155.37924194335938,8.673437118530273,320.92498779296875,4173.42236328125,743.4811401367188,15.48650074005127
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.layers.21.attn.Wqkv.weight,2304,768,768,135.6038360595703,18.00778579711914,56.70525360107422,2969.4052734375,583.1686401367188,37.790931701660156
dense,checkpoint,muon,0.001,muon-lr1e-3,1,0.2,782,dense/muon-lr1e-3/checkpoint-782,normuon,0.layers.21.mlp.Wi.weight,2304,768,768,152.44102478027344,26.821455001831055,32.30271530151367,1988.376708984375,293.77008056640625,96.29974365234375
