family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,update_operator,tensors,parameters,weight_frobenius_norm,direction_frobenius_norm,global_per_unit_lr_update_to_weight,row_norm_cv_parameter_weighted,row_norm_gini_parameter_weighted,row_norm_max_to_median_parameter_weighted,column_norm_cv_parameter_weighted,column_norm_gini_parameter_weighted,column_norm_max_to_median_parameter_weighted,top_1pct_row_energy_parameter_weighted,top_10pct_row_energy_parameter_weighted,spectral_norm_parameter_weighted,approx_stable_rank_parameter_weighted,sketched_nuclear_norm_parameter_weighted,sketched_entropy_effective_rank_parameter_weighted,captured_frobenius_energy_parameter_weighted,cosine_with_final_gradient_parameter_weighted,cosine_with_weight_parameter_weighted,per_unit_lr_update_to_weight_parameter_weighted
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,adamw,88,110297088,1190.003084092894,3790.6903474200326,3.1854458178228757,0.07443023523823782,0.0418731699940262,1.2998149723292671,0.04466240795299331,0.025174061399084416,1.1471264426083487,0.015266324933817521,0.12871944145324396,116.99978345983169,14.144250150670342,2616.5502688158003,57.4956458494625,0.7229969692740211,0.3899356144316056,0.00013110294365587297,3.2965281079797184
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,muon,88,110297088,1190.003084092894,317.9617170852593,0.26719402775971174,0.20206620966278535,0.11280397132179006,1.6915152914383833,0.06261547811747713,0.0322636196727047,1.25044429174719,0.024146793442554174,0.17989808169596974,1.7844795122503596,414.7279750803575,108.9045156285087,63.9324646914069,0.1627603848987722,0.23165610426648414,-0.0015046659319829722,0.2742582358678873
dense,checkpoint,normuon,0.001,normuon-lr1e-3,1,0.2,782,dense/normuon-lr1e-3/checkpoint-782,normuon,88,110297088,1190.003084092894,317.9526923458767,0.26718644396475927,0.04851146391468412,0.026381458444922522,1.290068207577588,0.06405565016131032,0.03300477967023413,1.2557803382848036,0.014517588670400376,0.12022867882474858,2.1477946224697133,314.47327407796115,118.43580106235443,63.82146240683163,0.18800999013019756,0.2144780822377154,-0.0013968723276211385,0.2742582339056354
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,adamw,88,110297088,1178.6457987589877,3849.7870450378355,3.2662798688896437,0.06811103467794663,0.03824996141954388,1.251989295457136,0.04163921598524333,0.023375520156090023,1.1426615230539903,0.014756432199043865,0.12593848895739745,121.95072879893257,13.543316870449699,2624.9141228823737,57.97234071129784,0.6962061181744152,0.47726153430932344,-0.0002491495802017193,3.378057484958261
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,muon,88,110297088,1178.6457987589877,320.3410051789042,0.27178733892420914,0.20206620592255403,0.11290477163382447,1.665843254104655,0.061499643119619814,0.03144828818893964,1.228151623577995,0.023746940947292162,0.1778672176368415,1.7839498299965884,421.2538584540872,108.99045926874334,63.94229837917389,0.1603912731064832,0.26406435441365217,-0.0019544961709042955,0.2790801271019294
dense,checkpoint,normuon,0.001,normuon-lr1e-3,3,0.6,2345,dense/normuon-lr1e-3/checkpoint-2345,normuon,88,110297088,1178.6457987589877,320.3317044735334,0.27177944791456016,0.0491323687489777,0.026493774198699162,1.2960739441733946,0.0630778956829625,0.0322455359037691,1.241478591041769,0.014651964595391948,0.12046103639637723,2.1408263126159097,320.8320219172513,118.39071953105416,63.83093831883395,0.18479768561328797,0.24713916315592546,-0.00184506782479827,0.27908012152395467
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,adamw,88,110297088,1174.7615144292947,3907.5767732397076,3.326272375494041,0.06667198486287486,0.037447588012935566,1.2542386300423567,0.04062618911863967,0.02269182640405906,1.1323407722666938,0.01458849775340946,0.12507293273739636,112.2738381248107,16.539176800671747,2689.6136177593376,58.19085737218194,0.7006328556945617,0.4446930684906276,-0.0002609265009931718,3.4406762798839714
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,muon,88,110297088,1174.7615144292947,320.8562618726691,0.27312459416798546,0.2017459280734115,0.11258110590161505,1.6749509585732445,0.06158438972869818,0.03145215003867936,1.241438943753268,0.02388873027219253,0.17853510764273092,1.7841237343568852,422.37021326891244,108.9077964109533,63.93745012334324,0.160871091373464,0.2724459083641277,-0.0023121800746049364,0.2803198295660357
dense,checkpoint,normuon,0.001,normuon-lr1e-3,5,1.0,3907,dense/normuon-lr1e-3/checkpoint-3907,normuon,88,110297088,1174.7615144292947,320.8470568129706,0.27311675848424416,0.05010076915785511,0.02714565286240728,1.3114354747501924,0.06313130124048753,0.032297513902786124,1.2447522215664706,0.014674912214299096,0.12099619331286553,2.146563884089975,321.00390892232804,118.70168105548716,63.820821099102815,0.1862806887789206,0.2534176043887189,-0.002157790185532683,0.2803198275240985
late,pretrained,,,pretrained,0,0.0,0,late/pretrained,adamw,88,110297088,1158.5445461291922,3862.6594562020614,3.3340620946407067,0.06342622175573666,0.03558955628570067,1.2451923170829202,0.041858501194473256,0.0235457911721425,1.1391075957905163,0.014493563204983817,0.1240119519917404,108.54657834098938,17.006437338609746,2729.3525586459727,58.95389251912979,0.7192718354775944,0.38373946573804407,0.00015545696785441816,3.4551694335784506
