family,anchor_kind,source_optimizer,learning_rate,run_id,stage,fraction,step,label,tensor,rows,columns,parameters,gradient_steps,weight_frobenius_norm,operator_pair,cosine
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.attn.Wo.weight,768,768,589824,8,102.63247680664062,adamw__muon,0.38816410303115845
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.attn.Wo.weight,768,768,589824,8,102.63247680664062,adamw__normuon,0.3880235552787781
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.attn.Wo.weight,768,768,589824,8,102.63247680664062,muon__normuon,0.999373733997345
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.attn.Wqkv.weight,2304,768,1769472,8,137.60008239746094,adamw__muon,0.4712326228618622
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.attn.Wqkv.weight,2304,768,1769472,8,137.60008239746094,adamw__normuon,0.48666712641716003
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.attn.Wqkv.weight,2304,768,1769472,8,137.60008239746094,muon__normuon,0.9502297639846802
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.mlp.Wi.weight,2304,768,1769472,8,151.96026611328125,adamw__muon,0.4876411259174347
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.mlp.Wi.weight,2304,768,1769472,8,151.96026611328125,adamw__normuon,0.49262526631355286
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.mlp.Wi.weight,2304,768,1769472,8,151.96026611328125,muon__normuon,0.9788878560066223
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.mlp.Wo.weight,768,1152,884736,8,123.6021499633789,adamw__muon,0.4693948030471802
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.mlp.Wo.weight,768,1152,884736,8,123.6021499633789,adamw__normuon,0.46930837631225586
dense,pretrained,,,pretrained,0,0.0,0,dense/pretrained,0.layers.19.mlp.Wo.weight,768,1152,884736,8,123.6021499633789,muon__normuon,0.9998871088027954
