family,anchor,condition,algorithm,direction,relative_scale,samples,contrastive_loss,delta_contrastive_loss,positive_score,delta_positive_score,hardest_negative_score,delta_hardest_negative_score,positive_margin,delta_positive_margin,reciprocal_rank,delta_reciprocal_rank,top1_accuracy,delta_top1_accuracy,loss_improvement_rate
dense,dense/muon-lr1e-3/checkpoint-2345,normuon-descent-1e-03,normuon,descent,0.001,224,0.5792461881921034,-0.007620306643860074,0.6549421037946429,-0.0012991768973214285,0.61871337890625,-0.0018310546875,0.036228724888392856,0.0005318777901785714,0.8879570585143354,0.0014880952824439322,0.8125,0.004464285714285714,0.6071428571428571
dense,dense/muon-lr1e-3/checkpoint-2345,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.5996045025692313,0.012738007733267815,0.6578543526785714,0.0016130719866071428,0.6230032784598214,0.0024588448660714285,0.03485107421875,-0.0008457728794642857,0.8771683682155397,-0.009300595016351767,0.7946428571428571,-0.013392857142857142,0.29910714285714285
dense,dense/muon-lr1e-3/checkpoint-3907,adamw-descent-1e-04,adamw,descent,0.0001,224,0.5814021895306983,0.000583376076454962,0.6541224888392857,-0.00028773716517857144,0.6169259207589286,-0.0004185267857142857,0.037196568080357144,0.00013078962053571428,0.8831845245191029,-0.000744047574698925,0.7991071428571429,0.0,0.59375
dense,dense/muon-lr1e-3/checkpoint-3907,adamw-descent-3e-04,adamw,descent,0.0003,224,0.5742286532336688,-0.006590160220574555,0.6534249441964286,-0.0009852818080357143,0.6160191127232143,-0.0013253348214285715,0.03740583147321429,0.00034005301339285713,0.8828125006652304,-0.0011160714285714285,0.7946428571428571,-0.004464285714285714,0.5982142857142857
dense,dense/muon-lr1e-3/checkpoint-3907,adamw-descent-1e-03,adamw,descent,0.001,224,0.5775469275888879,-0.003271885865355476,0.651123046875,-0.0032871791294642855,0.6133510044642857,-0.003993443080357143,0.03777204241071429,0.0007062639508928571,0.8750000006652304,-0.008928571428571428,0.7857142857142857,-0.013392857142857142,0.6116071428571429
dense,dense/muon-lr1e-3/checkpoint-3907,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.5892979219011717,0.008479108446928356,0.6588570731026786,0.004446847098214286,0.6232474190848214,0.005902971540178571,0.035609654017857144,-0.0014561244419642857,0.8850446435223732,0.0011160714285714285,0.7991071428571429,0.0,0.3392857142857143
dense,dense/muon-lr1e-3/checkpoint-3907,muon-descent-1e-04,muon,descent,0.0001,224,0.5786056412359487,-0.002213172218294598,0.6541573660714286,-0.0002528599330357143,0.6169782366071429,-0.0003662109375,0.03717912946428571,0.00011335100446428572,0.8753720245191029,-0.008556547574698925,0.78125,-0.017857142857142856,0.5803571428571429
dense,dense/muon-lr1e-3/checkpoint-3907,muon-descent-3e-04,muon,descent,0.0003,224,0.5809277866979495,0.00010897324370619441,0.6529366629464286,-0.0014735630580357143,0.6159406389508929,-0.00140380859375,0.03699602399553571,-6.975446428571428e-05,0.8794642863795161,-0.004464285714285714,0.7901785714285714,-0.008928571428571428,0.5491071428571429
dense,dense/muon-lr1e-3/checkpoint-3907,muon-descent-1e-03,muon,descent,0.001,224,0.5733511546068257,-0.007467658847417624,0.6513584681919643,-0.0030517578125,0.61358642578125,-0.003758021763392857,0.03777204241071429,0.0007062639508928571,0.8809523816619601,-0.002976190431841782,0.7946428571428571,-0.004464285714285714,0.625
dense,dense/muon-lr1e-3/checkpoint-3907,muon-sign-reversal-1e-03,muon,sign_reversal,0.001,224,0.5774695363384775,-0.003349277115765809,0.6586129324776786,0.004202706473214286,0.6221662248883929,0.00482177734375,0.03644670758928571,-0.0006190708705357143,0.8880208340872612,0.004092261993459293,0.8080357142857143,0.008928571428571428,0.4107142857142857
dense,dense/muon-lr1e-3/checkpoint-3907,normuon-descent-1e-04,normuon,descent,0.0001,224,0.5856593178424581,0.004840504388214738,0.6540091378348214,-0.00040108816964285713,0.6170131138392857,-0.00033133370535714287,0.03699602399553571,-6.975446428571428e-05,0.8818452388181218,-0.002083333275680031,0.7946428571428571,-0.004464285714285714,0.5178571428571429
dense,dense/muon-lr1e-3/checkpoint-3907,normuon-descent-3e-04,normuon,descent,0.0003,224,0.579550844489339,-0.0012679689649043471,0.6533115931919643,-0.0010986328125,0.6161673409598214,-0.0011771065848214285,0.037144252232142856,7.847377232142858e-05,0.8798363102333886,-0.004092261860413211,0.7901785714285714,-0.008928571428571428,0.5848214285714286
dense,dense/muon-lr1e-3/checkpoint-3907,normuon-descent-1e-03,normuon,descent,0.001,224,0.5751056833909648,-0.005713130063278575,0.6517246791294643,-0.002685546875,0.6139439174107143,-0.0034005301339285715,0.03778076171875,0.0007149832589285714,0.874627976811358,-0.009300595282443933,0.78125,-0.017857142857142856,0.6205357142857143
dense,dense/muon-lr1e-3/checkpoint-3907,normuon-sign-reversal-1e-03,normuon,sign_reversal,0.001,224,0.5834511125610463,0.0026322991068030077,0.6572440011160714,0.002833775111607143,0.6207798549107143,0.0034354073660714285,0.036464146205357144,-0.0006016322544642857,0.8820684530905315,-0.0018601190032703535,0.7946428571428571,-0.004464285714285714,0.38392857142857145
dense,dense/normuon-lr1e-3/checkpoint-782,adamw-descent-1e-04,adamw,descent,0.0001,224,0.6333490933531201,-0.002552363688794555,0.6611328125,0.00013950892857142856,0.6288800920758929,3.487723214285714e-05,0.032252720424107144,0.00010463169642857142,0.8613095244259706,0.003125000013304608,0.7589285714285714,0.008928571428571428,0.42857142857142855
dense,dense/normuon-lr1e-3/checkpoint-782,adamw-descent-3e-04,adamw,descent,0.0003,224,0.6291233509351254,-0.006778106106789242,0.6616385323660714,0.0006452287946428571,0.6291591099330357,0.0003138950892857143,0.03247942243303571,0.00033133370535714287,0.85967261969511,0.0014880952824439322,0.7544642857142857,0.004464285714285714,0.53125
dense,dense/normuon-lr1e-3/checkpoint-782,adamw-descent-1e-03,adamw,descent,0.001,224,0.6193096528664422,-0.016591804175472395,0.6632603236607143,0.0022670200892857145,0.6305106026785714,0.0016653878348214285,0.032749720982142856,0.0006016322544642857,0.870238095854542,0.012053571441876037,0.7767857142857143,0.026785714285714284,0.53125
dense,dense/normuon-lr1e-3/checkpoint-782,adamw-sign-reversal-1e-03,adamw,sign_reversal,0.001,224,0.6601905173722896,0.024289060330374923,0.6603131975446429,-0.0006801060267857143,0.629150390625,0.00030517578125,0.031162806919642856,-0.0009852818080357143,0.8472470245324075,-0.010937499880258526,0.7276785714285714,-0.022321428571428572,0.42857142857142855
dense,dense/normuon-lr1e-3/checkpoint-782,muon-descent-1e-04,muon,descent,0.0001,224,0.629739171822491,-0.006162285219423731,0.6613246372767857,0.00033133370535714287,0.6289149693080357,6.975446428571428e-05,0.03240966796875,0.00026157924107142856,0.8633928577016506,0.005208333288984639,0.7589285714285714,0.008928571428571428,0.39732142857142855
