family,anchor,challenger,reference,direction,relative_scale,samples,delta_delta_contrastive_loss,delta_delta_positive_score,delta_delta_hardest_negative_score,delta_delta_positive_margin,delta_delta_reciprocal_rank,delta_delta_top1_accuracy
dense,dense/muon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.0001,224,0.002774593135005229,0.00011335100446428572,0.00010463169642857142,8.719308035714285e-06,0.0,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.0003,224,0.004115501448203369,7.847377232142858e-05,0.0005057198660714286,-0.00042724609375,-0.0026041665779692785,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.001,224,0.00861984451304514,0.0008021763392857143,0.0016392299107142857,-0.0008370535714285714,0.005208333288984639,0.008928571428571428
dense,dense/muon-lr1e-3/checkpoint-2345,muon,adamw,sign_reversal,0.001,224,-0.015409529931925394,-0.0008806501116071429,-0.002101353236607143,0.001220703125,0.002232142724096775,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,normuon,adamw,descent,0.0001,224,-0.0019426061595108227,0.00014822823660714285,0.00022670200892857144,-7.847377232142858e-05,0.000744047574698925,0.0
dense,dense/muon-lr1e-3/checkpoint-2345,normuon,adamw,descent,0.0003,224,0.006163617128939742,0.0003749302455357143,0.0008980887276785714,-0.0005231584821428571,-0.0018601190032703535,-0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,normuon,adamw,descent,0.001,224,0.00929669822757465,0.0010027204241071428,0.0017961774553571428,-0.00079345703125,0.002232142857142857,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-2345,normuon,adamw,sign_reversal,0.001,224,-0.017962238745115298,-0.0016653878348214285,-0.0030430385044642855,0.0013776506696428572,0.002232142857142857,0.004464285714285714
dense,dense/muon-lr1e-3/checkpoint-3907,muon,adamw,descent,0.0001,224,-0.00279654829474956,3.487723214285714e-05,5.231584821428571e-05,-1.743861607142857e-05,-0.0078125,-0.017857142857142856
dense,dense/muon-lr1e-3/checkpoint-3907,muon,adamw,descent,0.0003,224,0.006699133464280749,-0.00048828125,-7.847377232142858e-05,-0.00040980747767857144,-0.0033482142857142855,-0.004464285714285714
