family,anchor,layer,tensor,rotation_seed,optimizer,qk_role,head,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,singular_spectrum_relative_l2_error
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,key,0,0.9994287490844727,0.03380423039197922,1.0000996589660645,0.0012094734702259302
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,key,5,0.9995089769363403,0.0313408337533474,1.0001592636108398,0.0011549822520464659
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,key,11,0.9994222521781921,0.03399275243282318,1.0000617504119873,0.0012045191833749413
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,query,0,0.9977865815162659,0.06654494255781174,1.000321865081787,0.01132242288440466
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,query,5,0.997566819190979,0.06975219398736954,0.9997859597206116,0.010871977545320988
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,query,11,0.998244047164917,0.05928535386919975,1.0006773471832275,0.0061077396385371685
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,key,0,0.9971562623977661,0.07539978623390198,0.9995914101600647,0.012291801162064075
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,key,5,0.9972397685050964,0.07431357353925705,1.0003796815872192,0.012093066237866879
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,key,11,0.9981451034545898,0.06090748682618141,1.0000079870224,0.008236183784902096
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,query,0,0.9669172763824463,0.2574179768562317,1.0014568567276,0.016083072870969772
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,query,5,0.9713729619979858,0.23950877785682678,1.0018658638000488,0.019299384206533432
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,query,11,0.9692249298095703,0.2479649931192398,0.9989504814147949,0.015587728470563889
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,key,0,0.9609317183494568,0.27935847640037537,0.9987590909004211,0.018447251990437508
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,key,5,0.9673493504524231,0.2554256319999695,0.9990772604942322,0.021879121661186218
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,key,11,0.9672858119010925,0.2554859519004822,0.997534453868866,0.030852094292640686
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,query,0,0.999474823474884,0.032410282641649246,1.00005042552948,0.0012218469055369496
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,query,5,0.9994619488716125,0.03280635178089142,1.0001907348632812,0.0012443037703633308
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,query,11,0.9994379281997681,0.03353156894445419,1.0000306367874146,0.0013202206464484334
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,key,0,0.9994531869888306,0.03306755796074867,0.9999845623970032,0.0011899532983079553
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,key,5,0.9995102286338806,0.031301919370889664,1.0002319812774658,0.0015231071738526225
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,key,11,0.9994364976882935,0.03357100859284401,1.0000449419021606,0.0014571493957191706
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,query,0,0.9981043338775635,0.06156948208808899,0.9998900890350342,0.00864778459072113
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,query,5,0.9976242780685425,0.06891413033008575,0.9994373321533203,0.01087325718253851
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,query,11,0.9981854557991028,0.06024666503071785,1.000144600868225,0.007465151138603687
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,key,0,0.9977266788482666,0.0674096941947937,0.9993667006492615,0.007942904718220234
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,key,5,0.9973459839820862,0.07285112887620926,0.9998499155044556,0.01169770210981369
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,key,11,0.9976107478141785,0.06910774111747742,0.9993507266044617,0.010386545211076736
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,query,0,0.9660112857818604,0.26083025336265564,1.0007994174957275,0.01796833425760269
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,query,5,0.9732292294502258,0.23133453726768494,0.9995091557502747,0.017773455008864403
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,query,11,0.9700797200202942,0.2444649636745453,0.9986771941184998,0.015680678188800812
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,key,0,0.9600362181663513,0.2829807698726654,1.0018426179885864,0.03818133845925331
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,key,5,0.9704846143722534,0.24298885464668274,1.0002140998840332,0.02597641944885254
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,key,11,0.9677896499633789,0.25365790724754333,0.9987581968307495,0.0293190386146307
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,query,0,0.9994735717773438,0.03245073929429054,1.0001492500305176,0.0011927565792575479
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,query,5,0.9994709491729736,0.03253621980547905,1.0002802610397339,0.0013094228925183415
dense,dense/adamw-lr1e-5/checkpoint-2345,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,query,11,0.9994187355041504,0.03409938886761665,1.0001832246780396,0.0012957633007317781
