family,anchor,layer,tensor,rotation_seed,optimizer,mapped_direction_cosine,mapped_relative_frobenius_error,mapped_norm_ratio,original_predicted_descent_per_unit_lr,rotated_predicted_descent_per_unit_lr,predicted_descent_relative_error,mean_head_spectrum_relative_l2_error,maximum_head_spectrum_relative_l2_error,functional_invariance_max_abs_logit_error
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082701,muon,0.999674916267395,0.025494011119008064,0.9998589158058167,1.1134206056594849,1.1132304668426514,0.0001707699820418501,0.0012284700642339885,0.0014844582183286548,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082701,normuon,0.9986528754234314,0.05190376937389374,0.999859094619751,1.0134528875350952,1.0144115686416626,0.0009459552766178135,0.009649947751313448,0.013852049596607685,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082702,adamw,0.9782400131225586,0.2086198478937149,1.0000501871109009,17.97760009765625,18.01520347595215,0.002091679539628919,0.02017905516549945,0.03754371777176857,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082702,muon,0.9996784925460815,0.025352811440825462,0.9998219013214111,1.1134206056594849,1.112872838973999,0.000491967440427775,0.0012355130941917498,0.0013446900993585587,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082702,normuon,0.9986639618873596,0.05168716609477997,0.9998220205307007,1.0134528875350952,1.0147491693496704,0.0012790745682594012,0.008857133332639933,0.011420831084251404,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082703,adamw,0.978269636631012,0.20849302411079407,1.0001972913742065,17.97760009765625,18.015377044677734,0.0021013342613183045,0.022099023995300133,0.0319642499089241,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082703,muon,0.9996753334999084,0.025475144386291504,0.9997894763946533,1.1134206056594849,1.1129984855651855,0.0003791200667148534,0.0011791082021469872,0.0012693983735516667,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,10,0.layers.10.attn.Wqkv.weight,2026082703,normuon,0.9987618923187256,0.04975639283657074,0.9997895956039429,1.0134528875350952,1.0145297050476074,0.0010625235033186657,0.008076219664265713,0.010125862434506416,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,21,0.layers.21.attn.Wqkv.weight,2026082701,adamw,0.9655227661132812,0.26258254051208496,0.9999304413795471,17.64487648010254,17.84103775024414,0.011117180126639323,0.032232702088852726,0.05347800999879837,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,21,0.layers.21.attn.Wqkv.weight,2026082701,muon,0.9982554912567139,0.059069372713565826,1.0000509023666382,0.8948085904121399,0.894341230392456,0.0005223016684144444,0.0027193162823095918,0.004022869747132063,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,21,0.layers.21.attn.Wqkv.weight,2026082701,normuon,0.9932777881622314,0.11595312505960464,1.0000509023666382,0.7996383905410767,0.8055221438407898,0.007358017535566149,0.015000491946314773,0.02071572095155716,5.329070518200751e-15
dense,dense/adamw-lr1e-5/checkpoint-782,21,0.layers.21.attn.Wqkv.weight,2026082702,adamw,0.9685529470443726,0.250781387090683,0.9999538660049438,17.64487648010254,17.889801025390625,0.01388077414791076,0.032639247054855026,0.047999296337366104,7.105427357601002e-15
dense,dense/adamw-lr1e-5/checkpoint-782,21,0.layers.21.attn.Wqkv.weight,2026082702,muon,0.9982637763023376,0.0589296892285347,1.0000649690628052,0.8948085904121399,0.8950437307357788,0.0002627828187597224,0.002700721709212909,0.004355762153863907,7.105427357601002e-15
